filename,document_type,writing_type
PT-PNA-DGFP-0001-002-0007-00027-00002_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0001-002-0007-00027-00002_m0002.TIF,,blank
PT-PNA-DGFP-0001-002-0014-00048_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0001-002-0014-00048_m0002.TIF,,blank
PT-PNA-DGFP-0001-002-0014-00049_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0001-002-0014-00049_m0002.TIF,,blank
PT-PNA-DGFP-0001-002-0014-00049_m0003.TIF,letter,handwritten
PT-PNA-DGFP-0001-002-0014-00050_m0001.TIF,letter,handwritten
PT-PNA-DGFP-0001-002-0014-00050_m0002.TIF,letter,typewritten
PT-PNA-DGFP-0001-002-0014-00050_m0003.TIF,,blank
PT-PNA-DGFP-0001-002-0014-00016-00001_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0001-002-0014-00016-00001_m0002.TIF,letter,handwritten
PT-PNA-DGFP-0001-002-0014-00016-00003_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0001-002-0014-00016-00003_m0002.TIF,,blank
PT-PNA-DGFP-0001-002-0014-00028-00001_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0001-002-0014-00028-00001_m0002.TIF,,blank
PT-PNA-DGFP-0001-002-0014-00029-00001_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0001-002-0014-00029-00001_m0002.TIF,,blank
PT-PNA-DGFP-0001-002-0014-00029-00002_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0001-002-0014-00029-00002_m0002.TIF,letter,typewritten
PT-PNA-DGFP-0001-002-0014-00035-00001_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0001-002-0014-00035-00001_m0002.TIF,,blank
PT-PNA-DGFP-0001-002-0014-00035-00002_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0001-002-0014-00035-00002_m0002.TIF,,blank
PT-PNA-DGFP-0001-002-0014-00047-00002_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0001-002-0014-00047-00002_m0002.TIF,,blank
PT-PNA-DGFP-0001-002-0014-00054-00001_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0001-002-0014-00054-00001_m0002.TIF,letter,handwritten
PT-PNA-DGFP-0001-002-0015-00066_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0001-002-0015-00066_m0002.TIF,,blank
PT-PNA-DGFP-0001-002-0015-00067_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0001-002-0015-00067_m0002.TIF,,blank
PT-PNA-DGFP-0001-002-0015-00068_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0001-002-0015-00068_m0002.TIF,,blank
PT-PNA-DGFP-0001-002-0015-00068_m0003.TIF,,blank
PT-PNA-DGFP-0001-002-0015-00068_m0004.TIF,,blank
PT-PNA-DGFP-0001-002-0015-00068_m0005.TIF,,blank
PT-PNA-DGFP-0001-002-0015-00068_m0006.TIF,,blank
PT-PNA-DGFP-0001-002-0015-00068_m0007.TIF,,blank
PT-PNA-DGFP-0001-002-0015-00068_m0008.TIF,,blank
PT-PNA-DGFP-0001-002-0012-00017_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0001-002-0012-00017_m0002.TIF,,blank
PT-PNA-DGFP-0001-002-0012-00019_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0001-002-0012-00019_m0002.TIF,letter,handwritten
PT-PNA-DGFP-0001-002-0013-00045_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0001-002-0013-00045_m0002.TIF,,blank
PT-PNA-DGFP-0001-002-0013-00003_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0001-002-0013-00003_m0002.TIF,,blank
PT-PNA-DGFP-0001-002-0013-00008_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0001-002-0013-00008_m0002.TIF,,blank
PT-PNA-DGFP-0001-002-0013-00014-00001_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0001-002-0013-00014-00001_m0002.TIF,,blank
PT-PNA-DGFP-0001-002-0013-00014-00003_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0001-002-0013-00014-00003_m0002.TIF,,blank
PT-PNA-DGFP-0001-002-0013-00016-00001_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0001-002-0013-00016-00001_m0002.TIF,,blank
PT-PNA-DGFP-0001-002-0013-00016-00002_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0001-002-0013-00016-00002_m0002.TIF,,blank
PT-PNA-DGFP-0001-002-0013-00016-00003_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0001-002-0013-00016-00003_m0002.TIF,,blank
PT-PNA-DGFP-0001-002-0013-00029-00001_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0001-002-0013-00029-00001_m0002.TIF,,blank
PT-PNA-DGFP-0001-002-0014-00008_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0001-002-0014-00008_m0002.TIF,,blank
PT-PNA-DGFP-0001-002-0014-00009_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0001-002-0014-00009_m0002.TIF,,blank
PT-PNA-DGFP-0001-002-0014-00019_m0001.TIF,letter,handwritten
PT-PNA-DGFP-0001-002-0014-00019_m0002.TIF,letter,handwritten
PT-PNA-DGFP-0001-002-0015-00002_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0001-002-0015-00002_m0002.TIF,,blank
PT-PNA-DGFP-0001-002-0015-00002_m0003.TIF,,handwritten
PT-PNA-DGFP-0001-002-0015-00003_m0001.TIF,,handwritten
PT-PNA-DGFP-0001-002-0015-00003_m0002.TIF,letter,typewritten
PT-PNA-DGFP-0001-002-0015-00003_m0003.TIF,,blank
PT-PNA-DGFP-0001-002-0015-00009_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0001-002-0015-00009_m0002.TIF,,blank
PT-PNA-DGFP-0001-002-0015-00049_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0001-002-0015-00049_m0002.TIF,,blank
PT-PNA-DGFP-0001-002-0015-00051_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0001-002-0015-00051_m0002.TIF,,blank
PT-PNA-DGFP-0001-002-0015-00052_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0001-002-0015-00052_m0002.TIF,,blank
PT-PNA-DGFP-0001-002-0015-00058_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0001-002-0015-00058_m0002.TIF,,blank
PT-PNA-DGFP-0001-002-0015-00059_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0001-002-0015-00059_m0002.TIF,,blank
PT-PNA-DGFP-0001-002-0015-00062_m0001.TIF,letter,typewritten
PT-PNA-DGFP-0001-002-0015-00062_m0002.TIF,,blank
PT-PNA-DGFP-0001-002-0015-00063_m0001.TIF,letter,typewritten
