file,baseline,homogeneous_blur,gaussian_blur,median_blur,bilateral_filtering,simple_threshold,otsu_threshold,triangle_threshold,erosion,dilation,opening,closing,morphological_gradient,top_hat,black_hat,adaptive_threshold0,adaptive_threshold1
PT-PNA-DGFP-0001-002-0014-00008_m0001,54.98,4.91,3.51,7.29,12.62,75.46,49.65,0.14,64.38,0.14,65.08,0.14,26.23,14.31,75.88,0.14,0.14
PT-PNA-DGFP-0001-002-0014-00048_m0001,73.0,3.75,2.12,3.5,5.0,71.38,65.75,0.12,66.12,0.12,69.38,0.12,48.25,13.25,73.38,0.12,0.12
PT-PNA-DGFP-0002-0001-00032-00002_m0001,69.38,32.25,72.64,59.77,61.73,69.71,68.24,0.16,38.76,0.16,45.77,0.16,53.75,18.57,67.75,4.89,0.16
PT-PNA-DGFP-0002-0001-00088-00002_m0001,84.43,85.49,83.66,83.08,83.46,83.75,83.56,0.1,83.27,0.1,81.53,0.1,68.09,22.34,75.24,6.48,0.1
PT-PNA-DGFP-0006-0001-00005-00003_m0001,85.88,87.01,83.62,84.93,85.12,89.45,84.56,0.19,81.54,0.19,80.6,0.19,55.74,19.4,69.49,25.24,4.71
PT-PNA-DGFP-0006-0001-00008_m0001,42.36,3.31,3.5,2.39,2.76,58.38,21.73,0.18,79.74,0.18,68.32,0.18,73.11,23.02,73.3,2.03,0.18
PT-PNA-DGFP-0006-0001-00030_m0001,4.61,9.68,4.61,5.99,4.61,0.23,4.61,0.23,4.38,0.23,4.61,0.23,69.82,2.53,71.66,3.0,2.76
PT-PNA-DGFP-0006-0001-00056_m0001,91.4,0.17,40.17,10.58,3.47,87.77,83.14,0.17,84.13,0.17,86.12,0.17,74.71,20.66,77.36,0.66,0.17
PT-PNA-DGFP-0006-0001-00096-00001_m0001,86.95,0.21,84.42,8.63,63.16,88.84,85.68,0.21,84.42,0.21,85.68,0.21,76.84,24.21,80.42,1.68,0.21
PT-TT-SNI-DSC-13-10_m0009,86.54,77.43,83.3,77.02,86.23,85.63,84.51,77.43,65.89,0.1,77.63,0.1,52.23,21.56,85.32,3.04,1.42
PT-TT-SNI-DSC-13-10_m0012,70.05,61.41,77.18,24.41,73.15,69.39,70.33,62.25,65.73,0.09,76.15,0.09,64.13,7.32,66.85,7.98,1.69
PT-TT-SNI-DSC-13-10_m0013,93.63,3.7,80.9,7.49,93.33,93.02,92.71,89.94,86.45,0.1,90.86,0.0,83.88,6.37,92.61,2.16,0.1
PT-TT-SNI-DSC-13-10_m0014,71.26,12.23,20.89,8.74,71.5,65.91,64.86,72.71,60.57,0.08,66.56,0.08,59.92,9.8,59.6,1.21,0.57
PT-TT-SNI-DSC-13-10_m0015,86.87,19.19,51.52,31.99,86.2,83.16,85.19,21.89,66.67,0.34,70.71,0.34,64.65,9.43,81.48,0.34,0.34
PT-TT-SNI-DSC-13-10_m0022,91.17,84.25,88.03,87.13,90.85,90.33,90.4,83.29,30.99,0.06,31.82,0.06,14.6,22.79,89.82,8.07,0.06
PT-TT-SNI-DSC-13-10_m0023,89.98,86.58,87.84,84.26,89.27,86.94,85.69,66.91,39.89,0.18,52.59,0.18,27.37,21.82,83.72,9.3,0.18
PT-TT-SNI-DSC-13-10_m0063,89.56,82.29,84.44,75.13,88.95,85.98,85.98,70.42,69.29,0.1,79.02,0.1,52.81,22.21,87.21,0.1,1.33
PT-TT-SNI-DSC-13-10_m0064,69.52,30.29,70.46,18.73,72.79,72.41,72.6,67.85,69.34,0.09,76.61,0.09,71.11,6.52,65.61,4.85,0.09
PT-TT-SNI-DSC-13-10_m0065,94.38,0.1,88.46,2.35,92.95,92.44,93.26,90.4,87.33,0.1,86.11,0.1,83.35,2.76,92.44,2.15,2.35
PT-TT-SNI-DSC-13-10_m0070,81.16,77.05,76.06,75.5,81.3,77.48,79.75,70.4,54.67,0.14,63.31,0.14,41.5,22.66,25.07,0.14,0.14
PT-TT-SNI-DSC-13-10_m0072,77.15,0.09,44.64,0.8,75.38,80.51,80.51,46.32,69.8,0.09,78.92,0.09,59.61,2.3,48.72,11.6,0.09
PT-TT-SNI-DSC-13-10_m0073,86.66,0.14,30.06,8.15,82.72,83.99,87.08,71.21,61.8,0.14,69.24,0.0,35.81,11.94,2.53,0.14,2.11
PT-TT-SNI-DSC-13-10_m0074,82.62,0.09,5.42,0.09,0.09,83.18,81.4,78.41,67.2,0.09,78.79,0.0,65.51,4.49,85.05,2.99,1.03
PT-TT-SNI-DSC-13-10_m0076,94.07,90.26,91.88,91.15,92.13,89.29,93.83,60.31,0.89,0.08,73.78,0.08,4.63,23.05,93.83,12.01,3.0
PT-TT-SNI-DSC-13-10_m0078,89.8,79.43,86.94,84.79,89.45,86.94,86.23,65.12,30.41,0.18,55.46,0.18,25.4,22.54,83.54,0.18,0.18
PT-TT-SNI-DSC-13-10_m0111,48.56,5.12,65.42,7.74,73.28,65.79,48.19,60.3,49.94,0.12,63.42,0.12,56.8,22.85,66.92,2.25,0.62
PT-TT-SNI-DSC-13-10_m0112,92.68,85.26,87.37,88.56,83.04,86.29,90.82,48.35,0.41,0.05,0.98,0.05,0.05,20.93,88.51,3.51,0.05
PT-TT-SNI-DSC-13-10_m0114,90.74,81.86,87.05,84.91,84.48,88.23,89.94,6.47,1.02,0.05,13.11,1.34,5.35,16.27,84.7,25.9,0.05
PT-TT-SNI-DSC-13-10_m0116,88.47,14.38,81.51,23.62,75.87,86.07,87.33,83.53,4.56,0.06,73.4,0.06,2.85,18.37,85.75,0.7,0.06
PT-TT-SNI-DSC-13-10_m0277,87.34,81.87,83.78,83.09,87.08,80.66,87.34,72.68,76.76,0.09,80.4,0.09,69.56,20.56,75.2,9.54,1.21
PT-TT-SNI-DSC-13-10_m0278,92.48,91.68,92.55,90.0,92.36,91.86,92.61,86.27,83.85,0.06,87.64,0.0,75.9,17.27,92.42,3.66,0.5
PT-TT-SNI-DSC-13-10_m0279,91.67,90.97,91.53,90.41,91.46,91.11,91.67,84.24,87.82,0.07,88.66,0.07,78.5,21.29,92.16,0.91,5.39
PT-TT-SNI-DSC-13-10_m0281,92.11,90.24,91.14,89.99,91.85,91.72,91.78,86.39,80.23,0.06,88.13,0.0,79.4,20.54,92.17,3.4,2.37
PT-TT-SNI-DSC-13-10_m0289,80.02,42.95,75.16,28.46,76.03,64.92,78.28,67.92,43.32,0.0,47.82,0.0,42.57,21.47,77.65,15.36,0.12
PT-TT-SNI-DSC-13-10_m0291,69.17,25.86,34.65,25.73,31.72,68.54,67.64,53.76,31.34,0.13,56.69,0.13,43.69,7.26,46.75,12.36,2.17
PT-TT-SNI-DSC-13-10_m0319,90.74,85.09,88.42,86.11,84.52,87.26,89.29,62.23,69.61,0.14,73.81,0.14,44.86,21.27,84.95,8.54,0.14
PT-TT-SNI-DSC-13-10_m0320,60.7,3.38,19.44,5.35,13.1,68.03,60.7,55.63,52.96,0.14,58.87,2.68,49.86,19.15,70.7,9.58,0.14
PT-TT-SNI-DSC-13-10_m0321,91.08,84.53,88.61,82.17,82.71,87.22,87.65,54.89,60.15,0.11,67.24,0.11,42.86,12.89,82.28,12.67,0.11
PT-TT-SNI-DSC-13-10_m0322,64.75,14.29,68.01,37.73,45.96,70.34,66.3,58.23,51.4,0.16,56.83,0.16,46.74,16.3,52.95,2.33,0.16
PT-TT-SNI-DSC-13-10_m0323,71.83,16.35,13.71,7.09,15.31,73.44,70.42,76.56,58.22,0.09,74.76,0.09,46.6,12.1,78.73,2.55,0.09
PT-TT-SNI-DSC-13-10_m0372,90.7,84.92,86.93,84.0,86.93,84.0,87.69,59.13,66.75,0.08,74.29,38.69,43.72,19.18,84.67,1.26,0.08
PT-TT-SNI-DSC-13-10_m0374,81.04,70.43,68.96,66.99,69.45,77.8,79.86,62.87,67.39,0.1,68.17,0.1,53.73,16.4,80.26,9.72,2.06
PT-TT-SNI-DSC-13-10_m0375,80.4,66.05,88.09,57.47,83.73,81.95,80.55,81.14,77.14,0.07,80.33,0.07,76.04,9.84,80.33,1.48,0.07
PT-TT-SNI-DSC-13-10_m0376,92.61,69.98,91.53,55.35,92.69,92.61,92.76,88.22,79.21,0.08,77.68,0.08,77.98,12.09,92.61,4.23,1.85
PT-TT-SNI-DSC-13-10_m0377,92.53,17.6,91.48,25.0,92.53,92.53,92.46,89.18,74.09,0.07,75.28,0.0,76.61,9.92,92.53,2.65,0.14
PT-TT-SNI-DSC-13-10_m0379,90.29,74.52,91.7,58.26,92.03,91.54,91.45,89.38,85.31,0.08,83.24,0.08,75.19,10.87,91.54,1.99,0.91
PT-TT-SNI-DSC-13-10_m0380,92.21,3.51,86.41,12.67,90.38,92.67,92.21,81.83,60.76,0.15,82.6,0.0,68.55,9.01,92.52,2.6,0.15
PT-TT-SNI-DSC-13-10_m0416,89.03,87.93,89.3,87.79,87.93,88.48,89.03,67.49,66.26,0.14,72.7,1.37,45.68,21.81,85.05,0.14,1.51
PT-TT-SNI-DSC-13-10_m0419,88.7,9.96,81.61,26.25,88.51,85.25,87.74,71.26,0.19,0.19,55.75,0.19,49.23,25.67,85.82,5.75,1.92
PT-TT-SNI-DSC-13-10_m0420,28.0,9.43,14.86,11.86,15.29,73.43,26.57,65.86,64.14,0.14,65.14,0.14,48.14,11.43,80.14,5.0,0.14
PT-TT-SNI-DSC-13-10_m0461,68.64,5.46,66.38,8.29,55.74,74.39,67.8,73.35,64.12,0.09,64.22,0.09,50.94,16.01,69.11,3.11,0.09
PT-TT-SNI-DSC-13-10_m0462,89.1,83.43,87.32,82.5,84.87,78.44,87.74,56.89,70.5,0.08,71.85,49.62,39.64,18.93,83.69,2.03,0.08
PT-TT-SNI-DSC-13-10_m0484,84.03,2.83,37.28,3.99,8.56,85.06,83.52,79.01,26.66,0.06,68.45,0.06,28.01,6.44,82.68,3.03,1.87
PT-TT-SNI-DSC-13-10_m0487,71.42,72.53,73.4,52.34,66.9,71.81,71.5,66.67,62.63,0.08,72.92,0.08,54.79,2.93,66.35,1.9,1.43
PT-TT-SNI-DSC-13-10_m0489,35.09,1.49,1.49,0.07,0.07,17.08,32.53,64.13,68.04,0.07,60.43,0.07,55.8,7.12,60.78,2.63,0.07
PT-TT-SNI-DSC-13-10_m0491,51.53,12.0,19.29,12.0,20.59,59.88,47.06,68.82,56.94,0.12,62.59,0.12,42.12,13.06,70.24,3.18,0.12
PT-TT-SNI-DSC-13-10_m0548,79.75,68.2,79.45,66.14,74.17,82.78,80.33,75.83,65.46,0.1,68.49,0.1,55.38,18.69,74.56,6.56,1.76
PT-TT-SNI-DSC-19-13_2_m0003,84.5,0.17,9.0,8.67,27.67,65.83,81.33,85.17,63.5,0.0,61.33,0.0,49.33,21.83,65.5,0.17,2.0
PT-TT-SNI-DSC-19-13_3_m0004,76.84,66.53,72.03,67.37,77.54,78.53,74.86,70.34,64.97,2.97,56.36,29.8,42.51,13.14,69.77,11.16,0.28
PT-TT-SNI-DSC-24-203_m0007,68.73,43.67,64.83,56.24,70.77,67.37,67.37,29.74,0.08,0.08,34.49,0.08,0.25,11.55,68.99,1.61,0.08
PT-TT-SNI-DSC-35-6-9242_m0676,73.23,15.12,71.65,20.16,72.76,74.96,73.07,74.65,29.29,0.16,53.7,0.0,17.8,10.71,77.64,0.16,0.16
PT-TT-SNI-DSC-35-8-9363_m0539,30.33,0.11,0.11,0.11,2.07,41.63,28.26,72.07,63.7,0.0,69.89,0.0,56.2,7.83,70.0,0.11,0.11
PT-TT-SNI-DSC-35-8-9368_m0548,88.3,15.56,83.32,19.23,80.67,86.98,89.52,79.25,28.59,0.1,69.38,0.0,14.95,11.6,85.86,0.1,0.1
PT-TT-SNI-DSC-9-73_m0003,94.89,0.07,33.6,2.15,0.07,0.07,92.61,71.24,85.42,0.07,89.18,0.07,72.45,18.62,90.99,16.2,1.55
PT-TT-SNI-DSC-9-73_m0004,92.25,0.08,81.61,1.29,2.2,0.08,89.44,48.71,78.65,0.08,85.49,4.56,66.26,21.88,90.27,3.12,0.08
