file,baseline,homogeneous_blur,gaussian_blur,median_blur,bilateral_filtering,simple_threshold,otsu_threshold,triangle_threshold,erosion,dilation,opening,closing,morphological_gradient,top_hat,black_hat,adaptive_threshold0,adaptive_threshold1
PT-PNA-DGFP-0001-002-0014-00008_m0001,63.64,0.0,0.0,0.0,0.0,44.69,37.43,0.0,25.93,0.0,38.96,0.0,18.98,0.0,55.49,0.0,0.0
PT-PNA-DGFP-0001-002-0014-00048_m0001,43.98,0.0,2.2,0.0,2.11,41.24,27.88,0.0,26.67,0.0,33.52,0.0,13.1,1.5,53.33,0.0,0.0
PT-PNA-DGFP-0002-0001-00032-00002_m0001,62.07,18.52,50.37,35.38,29.85,50.34,60.27,0.0,23.42,0.0,23.53,0.0,17.65,1.56,53.59,0.0,0.0
PT-PNA-DGFP-0002-0001-00088-00002_m0001,59.82,52.91,57.78,51.14,56.64,54.87,54.39,0.0,50.68,0.0,50.23,0.0,19.56,0.95,28.1,0.0,0.0
PT-PNA-DGFP-0006-0001-00005-00003_m0001,70.5,60.87,61.43,58.39,65.22,62.69,64.29,0.0,50.77,0.0,48.23,0.0,5.71,0.0,37.18,9.92,5.56
PT-PNA-DGFP-0006-0001-00008_m0001,35.85,2.7,2.7,2.78,2.74,11.35,3.39,0.0,32.12,0.0,42.02,0.0,29.2,4.51,61.84,0.0,0.0
PT-PNA-DGFP-0006-0001-00030_m0001,3.45,2.94,3.45,3.33,3.45,0.0,3.45,0.0,3.45,0.0,3.45,0.0,17.09,0.0,54.55,0.0,3.39
PT-PNA-DGFP-0006-0001-00056_m0001,70.59,0.0,22.41,4.94,0.0,54.01,38.03,0.0,39.13,0.0,49.28,0.0,23.88,0.0,38.1,0.0,0.0
PT-PNA-DGFP-0006-0001-00096-00001_m0001,61.02,0.0,53.33,6.45,42.37,60.5,55.0,0.0,44.83,0.0,47.46,0.0,29.51,1.83,57.6,0.0,0.0
PT-TT-SNI-DSC-13-10_m0009,57.74,37.07,37.34,36.73,57.98,53.28,51.88,44.17,19.33,0.0,34.75,0.0,15.25,2.02,54.25,0.0,0.0
PT-TT-SNI-DSC-13-10_m0012,61.04,42.52,65.05,12.06,65.77,62.5,61.24,50.63,37.24,0.0,53.79,0.0,37.39,0.0,61.64,1.3,0.0
PT-TT-SNI-DSC-13-10_m0013,79.45,1.74,59.91,3.25,79.09,76.02,74.21,68.7,45.41,0.0,62.83,0.0,43.04,0.0,78.03,0.0,0.0
PT-TT-SNI-DSC-13-10_m0014,50.49,7.41,10.86,6.9,39.73,30.48,30.19,50.0,16.61,0.0,24.77,0.0,13.65,2.08,49.85,0.0,0.0
PT-TT-SNI-DSC-13-10_m0015,69.14,18.87,36.36,20.34,71.6,58.54,61.73,11.32,23.91,0.0,38.1,0.0,26.97,0.0,65.82,0.0,0.0
PT-TT-SNI-DSC-13-10_m0022,67.96,46.95,52.96,48.0,65.81,63.69,65.19,53.54,11.57,0.0,20.78,0.0,1.96,2.53,64.56,1.17,0.0
PT-TT-SNI-DSC-13-10_m0023,58.12,43.7,43.7,44.26,62.07,52.03,45.76,31.93,3.74,0.0,27.27,0.0,4.0,0.0,47.54,0.0,0.0
PT-TT-SNI-DSC-13-10_m0063,62.76,36.51,44.63,36.13,59.5,54.92,51.45,37.89,25.55,0.0,32.79,0.0,12.79,0.84,58.68,0.0,0.0
PT-TT-SNI-DSC-13-10_m0064,61.44,18.6,57.52,4.23,64.45,61.39,63.09,54.07,36.07,0.0,54.67,0.0,31.62,0.0,62.42,0.0,0.0
PT-TT-SNI-DSC-13-10_m0065,80.54,0.0,67.87,3.45,76.36,79.09,74.44,68.14,47.21,0.0,60.99,0.0,45.81,0.0,75.34,0.0,0.0
PT-TT-SNI-DSC-13-10_m0070,63.91,43.37,48.24,39.31,64.67,57.63,59.77,35.71,12.94,0.0,34.36,0.0,3.39,2.52,55.74,0.0,0.0
PT-TT-SNI-DSC-13-10_m0072,61.74,0.0,30.91,0.0,55.71,64.0,60.53,33.48,27.33,0.0,50.68,0.0,25.62,1.39,58.38,1.2,0.0
PT-TT-SNI-DSC-13-10_m0073,73.03,0.0,35.21,0.0,68.29,65.95,67.8,49.12,32.95,0.0,48.0,0.0,15.84,0.0,55.05,0.0,0.0
PT-TT-SNI-DSC-13-10_m0074,67.49,0.0,4.58,0.0,0.0,68.85,64.46,51.22,36.44,0.0,51.22,0.0,24.19,1.48,69.39,1.55,0.0
PT-TT-SNI-DSC-13-10_m0076,76.01,65.19,69.31,59.5,67.88,70.29,75.18,27.31,0.0,0.0,48.35,0.0,1.34,1.44,73.99,2.44,2.78
PT-TT-SNI-DSC-13-10_m0078,61.54,39.02,41.32,40.98,59.32,50.82,49.18,19.85,3.77,0.0,22.61,0.0,0.0,0.0,42.86,0.0,0.0
PT-TT-SNI-DSC-13-10_m0111,53.49,2.33,52.35,2.2,52.76,50.0,50.29,39.33,37.58,0.0,48.45,0.0,27.22,1.23,50.29,0.0,0.0
PT-TT-SNI-DSC-13-10_m0112,70.42,54.01,64.08,51.92,54.23,59.71,61.69,10.34,0.0,0.0,0.0,0.0,0.0,1.98,48.83,0.92,0.0
PT-TT-SNI-DSC-13-10_m0114,64.3,49.5,57.21,51.83,50.0,57.64,61.77,9.95,0.0,0.0,11.72,1.97,0.91,1.2,45.74,4.12,0.0
PT-TT-SNI-DSC-13-10_m0116,68.59,6.49,54.89,12.67,52.0,60.12,61.39,53.89,3.51,0.0,43.95,0.0,0.0,0.75,64.78,0.0,0.0
PT-TT-SNI-DSC-13-10_m0277,69.5,58.87,62.55,59.42,68.89,62.2,68.46,37.64,47.31,0.0,50.57,0.0,23.75,2.6,43.69,4.91,1.49
PT-TT-SNI-DSC-13-10_m0278,71.71,68.85,75.5,60.59,73.27,71.24,73.27,51.28,48.68,0.0,57.23,0.0,28.66,2.24,73.44,0.0,0.0
PT-TT-SNI-DSC-13-10_m0279,74.56,70.83,74.56,68.04,74.56,72.92,74.56,50.49,52.35,0.0,60.81,0.0,24.52,1.46,74.13,0.0,1.21
PT-TT-SNI-DSC-13-10_m0281,72.33,66.88,70.22,64.38,71.47,71.92,70.85,53.66,52.4,0.0,63.75,0.0,33.63,0.71,72.56,2.33,1.18
PT-TT-SNI-DSC-13-10_m0289,60.76,30.08,51.19,22.61,54.97,54.76,60.38,39.08,36.76,0.0,35.86,0.0,28.99,1.31,55.76,1.6,0.0
PT-TT-SNI-DSC-13-10_m0291,45.09,4.92,6.25,4.8,6.85,41.08,41.62,31.16,11.11,0.0,28.25,0.0,13.71,2.15,38.1,4.4,0.0
PT-TT-SNI-DSC-13-10_m0319,70.59,55.81,62.72,57.65,58.68,54.65,63.53,21.18,30.51,0.0,36.14,0.0,3.43,4.19,51.14,2.0,0.0
PT-TT-SNI-DSC-13-10_m0320,47.06,0.0,17.02,0.0,6.67,47.78,44.2,40.88,25.85,0.0,40.23,0.0,20.13,1.53,47.25,0.0,0.0
PT-TT-SNI-DSC-13-10_m0321,64.07,41.38,59.13,31.76,35.04,54.47,52.36,11.35,17.62,0.0,34.74,0.0,3.7,0.0,36.82,0.0,0.0
PT-TT-SNI-DSC-13-10_m0322,51.65,0.0,48.0,21.85,35.03,52.94,48.0,31.25,46.77,0.0,46.27,0.0,15.83,0.0,46.63,0.0,0.0
PT-TT-SNI-DSC-13-10_m0323,53.5,3.87,4.62,3.33,7.58,57.38,46.91,42.19,22.59,0.0,35.87,0.0,20.0,2.55,52.72,1.77,0.0
PT-TT-SNI-DSC-13-10_m0372,66.67,50.33,52.98,48.99,56.48,46.71,55.81,14.89,18.06,0.0,33.44,21.95,3.29,2.89,49.34,0.0,0.0
PT-TT-SNI-DSC-13-10_m0374,63.59,50.86,55.32,43.78,61.61,59.36,61.47,31.11,42.79,0.0,45.19,0.0,27.05,2.42,63.37,1.56,0.0
PT-TT-SNI-DSC-13-10_m0375,57.55,40.83,63.32,32.03,60.0,57.56,57.45,52.94,28.78,0.0,41.33,0.0,29.5,1.18,59.93,0.0,0.0
PT-TT-SNI-DSC-13-10_m0376,75.47,52.92,72.66,37.82,76.23,76.52,76.23,66.18,41.48,0.0,51.52,0.0,36.69,1.1,75.76,1.36,0.0
PT-TT-SNI-DSC-13-10_m0377,77.13,15.46,70.27,17.94,77.4,77.13,77.13,62.75,41.33,0.0,52.14,0.0,40.0,0.0,76.87,2.55,0.0
PT-TT-SNI-DSC-13-10_m0379,75.78,51.85,68.22,37.07,74.31,73.93,74.42,65.4,42.15,0.0,54.98,0.0,33.72,0.0,70.04,1.49,0.0
PT-TT-SNI-DSC-13-10_m0380,75.61,0.0,64.2,12.63,78.31,76.07,73.94,49.7,36.99,0.0,56.25,0.0,37.35,2.0,76.07,0.0,0.0
PT-TT-SNI-DSC-13-10_m0416,65.52,59.43,62.07,60.92,61.63,62.43,64.0,26.9,37.04,0.0,47.27,4.55,5.88,1.11,47.46,0.0,0.0
PT-TT-SNI-DSC-13-10_m0419,66.67,6.35,56.67,13.64,66.1,63.25,63.25,36.84,0.0,0.0,39.6,0.0,21.57,5.36,62.5,0.0,0.0
PT-TT-SNI-DSC-13-10_m0420,38.46,0.0,4.6,2.3,2.3,48.37,15.94,39.19,32.89,0.0,46.15,0.0,28.36,0.0,51.85,0.0,0.0
PT-TT-SNI-DSC-13-10_m0461,48.25,1.75,41.44,0.0,33.98,51.14,44.44,41.82,31.17,0.0,38.89,0.0,23.04,2.35,49.11,0.0,0.0
PT-TT-SNI-DSC-13-10_m0462,62.22,45.65,57.14,45.65,48.91,35.97,53.05,9.22,21.09,0.0,36.63,23.18,0.71,0.6,38.75,0.0,0.0
PT-TT-SNI-DSC-13-10_m0484,63.09,3.8,21.46,3.73,5.81,59.12,56.35,49.83,12.5,0.0,42.47,0.0,10.74,1.05,62.5,1.26,0.0
PT-TT-SNI-DSC-13-10_m0487,59.09,58.59,58.0,36.23,53.37,56.69,60.59,41.18,34.53,0.0,51.78,0.0,38.49,0.0,56.9,0.0,0.0
PT-TT-SNI-DSC-13-10_m0489,37.55,3.75,3.75,0.0,0.0,17.48,13.06,38.82,15.14,0.0,25.66,0.0,7.5,0.0,42.21,0.0,0.0
PT-TT-SNI-DSC-13-10_m0491,26.49,6.19,5.17,6.19,8.93,27.16,15.58,33.33,17.26,0.0,17.78,0.0,10.95,0.0,33.53,2.22,0.0
PT-TT-SNI-DSC-13-10_m0548,58.58,54.81,54.62,46.6,54.63,56.03,58.23,45.6,40.87,0.0,52.53,0.0,21.46,2.11,56.68,1.57,0.0
PT-TT-SNI-DSC-19-13_2_m0003,60.4,0.0,4.55,0.0,30.19,53.95,56.38,56.38,20.55,0.0,20.98,0.0,20.47,3.17,60.93,0.0,0.0
PT-TT-SNI-DSC-19-13_3_m0004,53.75,36.94,43.48,30.67,47.2,51.9,45.57,33.96,25.48,0.0,28.97,1.33,15.83,0.0,49.03,6.0,0.0
PT-TT-SNI-DSC-24-203_m0007,56.0,28.31,43.9,34.45,50.19,46.88,46.88,13.79,0.0,0.0,16.75,0.0,0.0,3.24,46.69,0.0,0.0
PT-TT-SNI-DSC-35-6-9242_m0676,56.34,18.82,51.43,14.29,53.97,51.39,52.48,42.38,10.77,0.0,33.82,0.0,2.04,2.25,58.82,0.0,0.0
PT-TT-SNI-DSC-35-8-9363_m0539,24.11,0.0,0.0,0.0,2.08,13.19,8.22,42.73,18.56,0.0,26.67,0.0,18.37,0.0,51.08,0.0,0.0
PT-TT-SNI-DSC-35-8-9368_m0548,69.72,3.2,61.19,4.41,55.5,64.76,69.77,54.55,19.77,0.0,47.22,0.0,7.41,4.14,62.73,0.0,0.0
PT-TT-SNI-DSC-9-73_m0003,74.92,0.0,44.15,1.27,0.0,0.0,60.06,36.43,41.38,0.0,50.32,0.0,16.77,2.12,54.04,0.0,1.27
PT-TT-SNI-DSC-9-73_m0004,71.33,0.0,59.03,0.0,0.0,0.0,64.85,21.05,37.76,0.0,46.74,0.0,15.18,2.94,53.74,0.0,0.0
PT-TT-SNI-DSC-9-73_m0006,50.0,29.79,19.61,25.53,9.3,13.95,16.0,0.0,8.7,0.0,0.0,0.0,0.0,0.0,22.64,0.0,0.0
PT-TT-SNI-DSC-9-73_m0007,47.3,17.24,34.62,22.22,21.05,30.08,36.49,33.82,23.29,0.0,27.03,0.0,12.24,0.0,32.17,0.0,0.0
PT-TT-SNI-DSC-9-73_m0021,73.42,0.0,44.16,0.0,0.0,0.0,50.63,18.46,42.67,0.0,33.33,0.0,33.33,3.12,67.5,0.0,0.0
PT-TT-SNI-DSC-9-857_m0002,52.54,0.0,23.76,0.0,0.0,25.21,23.93,0.0,67.69,0.0,67.74,0.0,47.76,0.0,66.18,0.0,0.0
PT-TT-SNI-DSC-9-857_m0004,68.92,50.0,60.53,58.5,64.43,64.38,57.52,53.06,49.18,0.0,53.33,0.0,23.73,0.0,57.99,0.0,0.0
PT-TT-SNI-DSC-9-857_m0005,71.01,68.39,69.03,68.39,72.9,67.09,69.06,61.49,5.43,0.0,54.98,0.0,2.52,0.95,55.13,3.53,0.0
PT-TT-SNI-DSC-9-857_m0006,67.16,62.77,67.16,65.67,65.67,71.21,63.16,39.1,39.13,0.0,57.35,0.0,28.78,0.0,58.82,0.0,0.0
PT-TT-SNI-DSC-9-857_m0007,66.67,64.66,66.18,60.43,58.02,68.15,66.18,36.23,46.48,0.0,63.31,0.0,27.54,0.0,55.56,0.0,0.0
PT-TT-SNI-DSC-9-857_m0008,72.28,57.29,69.31,61.39,57.43,66.67,67.0,58.25,57.71,0.0,62.31,0.0,35.29,0.0,74.0,0.0,0.0
PT-TT-SNI-DSC-9-857_m0009,77.06,71.43,75.23,70.18,75.23,77.36,75.93,55.86,70.91,0.0,65.42,0.0,59.32,2.78,66.07,0.0,0.0
PT-TT-SNI-DSC-9-857_m0010,71.34,68.79,69.18,71.34,67.92,67.09,70.51,25.93,48.15,0.0,61.73,28.33,28.57,1.18,62.5,2.35,0.0
PT-TT-SNI-DSC-9-857_m0013,58.26,25.0,55.11,26.29,21.79,53.64,51.3,0.0,39.42,0.0,47.58,0.0,33.51,0.0,41.73,3.03,0.0
PT-TT-SNI-DSC-9-857_m0021,52.38,48.82,43.75,43.08,39.06,45.31,37.8,16.26,12.5,5.8,30.65,23.44,0.0,0.0,23.36,0.0,0.0
PT-TT-SNI-DSC-9-857_m0022,3.7,0.0,1.4,2.47,0.0,7.41,2.47,57.54,22.74,0.0,1.33,0.0,31.14,0.0,55.86,0.0,0.0
PT-TT-SNI-DSC-9-857_m0023,38.65,0.0,0.0,0.0,0.0,36.81,31.38,28.57,27.05,0.0,37.38,0.0,24.91,2.11,34.71,0.0,0.0
PT-TT-SNI-DSC-9-857_m0024,51.2,2.08,11.43,2.06,0.0,48.0,29.85,56.25,54.55,2.74,45.45,0.0,48.94,0.0,55.17,4.76,0.0
PT-TT-SNI-DGE-1-3835_m0004,55.56,43.64,59.26,48.15,55.56,55.56,45.28,50.91,24.49,0.0,54.9,5.26,13.33,3.64,23.53,0.0,0.0
