file,baseline,homogeneous_blur,gaussian_blur,median_blur,bilateral_filtering,adaptive_threshold,simple_threshold,otsu_threshold,triangle_threshold,erosion,dilation,opening,closing,morphological_gradient,top_hat,black_hat
PT-PNA-DGFP-0001-002-0014-00008_m0001,54.98,54.98,61.15,38.29,73.35,67.32,66.62,54.28,61.15,54.98,0.0,73.21,54.98,73.21,72.23,71.53
PT-PNA-DGFP-0001-002-0014-00048_m0001,73.0,73.0,22.88,25.25,72.5,75.12,74.63,71.12,38.0,73.0,0.0,75.5,73.0,73.0,76.25,75.0
PT-PNA-DGFP-0002-0001-00032-00002_m0001,69.38,69.38,75.41,76.06,52.28,63.36,18.73,69.22,76.06,69.38,0.0,73.13,69.38,60.42,64.66,78.83
PT-PNA-DGFP-0002-0001-00088-00002_m0001,84.43,84.43,85.3,84.82,84.24,81.14,82.98,83.66,0.1,84.43,0.1,85.69,84.43,79.3,84.24,84.53
PT-PNA-DGFP-0006-0001-00005-00003_m0001,85.88,85.88,84.18,87.95,90.58,72.69,87.76,84.56,88.32,85.88,0.0,87.19,85.88,40.87,93.41,88.14
PT-PNA-DGFP-0006-0001-00008_m0001,42.36,42.36,2.03,3.31,26.7,68.32,81.03,41.99,1.84,42.36,0.0,60.04,42.36,37.38,68.32,71.64
PT-PNA-DGFP-0006-0001-00030_m0001,4.61,4.61,4.61,4.61,4.61,28.34,24.19,4.61,4.61,4.61,0.23,4.61,4.61,68.66,26.96,65.9
PT-PNA-DGFP-0006-0001-00056_m0001,91.4,91.4,90.58,76.03,93.55,70.58,89.26,89.59,67.93,91.4,0.17,93.06,91.4,79.5,92.89,66.78
PT-PNA-DGFP-0006-0001-00096-00001_m0001,86.95,86.95,85.68,88.63,85.68,84.0,85.47,86.95,90.11,86.95,0.21,88.84,86.95,78.53,83.58,82.74
PT-TT-SNI-DSC-13-10_m0009,86.54,86.54,87.65,87.55,87.75,81.28,87.25,86.03,77.02,86.54,0.1,87.55,86.54,76.82,86.34,87.25
PT-TT-SNI-DSC-13-10_m0012,70.05,70.05,69.39,66.57,70.14,60.28,77.28,69.67,62.25,70.05,0.09,72.68,70.05,57.18,70.05,64.23
PT-TT-SNI-DSC-13-10_m0013,93.63,93.63,93.43,83.68,94.15,90.76,92.92,93.63,89.63,93.63,0.1,93.53,93.63,90.97,93.12,92.81
PT-TT-SNI-DSC-13-10_m0014,71.26,71.26,76.03,49.64,67.45,68.91,68.42,68.42,72.23,71.26,0.08,67.29,71.26,44.86,71.26,63.97
PT-TT-SNI-DSC-13-10_m0015,86.87,86.87,87.88,79.46,85.86,57.91,86.2,85.86,22.22,86.87,0.34,85.52,86.87,81.14,65.66,85.86
PT-TT-SNI-DSC-13-10_m0022,91.17,91.17,90.97,91.04,90.78,81.11,89.24,90.97,82.65,91.17,0.06,88.16,91.17,73.11,91.04,90.52
PT-TT-SNI-DSC-13-10_m0023,89.98,89.98,91.06,90.7,90.34,51.52,79.79,89.8,64.58,89.98,0.18,89.27,89.98,48.66,90.52,88.55
PT-TT-SNI-DSC-13-10_m0063,89.56,89.56,88.95,85.77,89.25,83.93,85.36,88.13,69.7,89.56,0.1,86.39,89.56,77.89,89.56,88.64
PT-TT-SNI-DSC-13-10_m0064,69.52,69.52,71.11,69.62,68.03,74.84,74.56,68.69,68.41,69.52,0.09,76.42,69.52,64.59,69.52,67.38
PT-TT-SNI-DSC-13-10_m0065,94.38,94.38,93.46,91.93,92.65,83.55,93.36,93.97,90.09,94.38,0.1,93.46,94.38,88.56,92.54,93.26
PT-TT-SNI-DSC-13-10_m0070,81.16,81.16,80.45,82.58,80.31,70.82,78.05,80.03,69.69,81.16,0.0,78.75,81.16,64.31,80.31,76.49
PT-TT-SNI-DSC-13-10_m0072,77.15,77.15,66.87,49.96,78.65,57.22,68.47,81.05,44.02,77.15,0.09,81.22,77.15,42.25,77.15,64.13
PT-TT-SNI-DSC-13-10_m0073,86.66,86.66,85.25,72.61,84.83,54.78,72.75,86.8,71.35,86.66,0.14,82.44,86.66,38.76,86.24,76.4
PT-TT-SNI-DSC-13-10_m0074,82.62,82.62,81.21,56.17,85.98,79.16,84.77,82.15,79.07,82.62,0.09,85.89,82.62,81.78,80.56,85.33
PT-TT-SNI-DSC-13-10_m0076,94.07,94.07,93.67,93.34,94.07,93.59,76.7,93.67,56.01,94.07,0.0,91.96,94.07,53.9,92.78,94.32
PT-TT-SNI-DSC-13-10_m0078,89.8,89.8,89.8,63.33,89.8,84.79,88.01,88.37,61.0,89.8,0.18,88.01,89.8,45.97,89.45,88.37
PT-TT-SNI-DSC-13-10_m0111,48.56,48.56,65.92,68.41,49.81,70.41,65.42,49.19,60.05,48.56,0.12,50.69,48.56,65.17,51.56,62.67
PT-TT-SNI-DSC-13-10_m0112,92.68,92.68,91.29,91.49,92.68,90.67,74.95,91.34,46.03,92.68,0.05,89.12,92.68,42.37,92.68,91.8
PT-TT-SNI-DSC-13-10_m0114,90.74,90.74,89.41,89.67,90.8,87.11,52.11,90.05,6.31,90.74,0.05,74.1,90.74,16.0,89.89,86.62
PT-TT-SNI-DSC-13-10_m0116,88.47,88.47,82.08,80.24,87.97,83.09,11.91,87.9,84.04,88.47,0.06,87.27,88.47,82.84,87.4,83.15
PT-TT-SNI-DSC-13-10_m0277,87.34,87.34,85.52,84.74,87.51,85.08,85.43,87.51,73.98,87.34,0.09,85.34,87.34,80.05,87.34,86.04
PT-TT-SNI-DSC-13-10_m0278,92.48,92.48,92.55,92.42,92.55,91.8,91.55,92.48,85.59,92.48,0.06,92.42,92.48,81.68,92.48,92.3
PT-TT-SNI-DSC-13-10_m0279,91.67,91.67,91.74,91.95,91.88,91.53,90.41,91.39,84.87,91.67,0.07,91.25,91.67,80.46,91.67,91.11
PT-TT-SNI-DSC-13-10_m0281,92.11,92.11,92.04,91.72,91.85,91.66,91.14,91.85,86.33,92.11,0.06,90.5,92.11,82.93,92.11,91.85
PT-TT-SNI-DSC-13-10_m0289,80.02,80.02,78.78,80.27,81.27,84.02,82.27,79.4,68.91,80.02,0.12,79.9,80.02,77.03,80.15,81.27
PT-TT-SNI-DSC-13-10_m0291,69.17,69.17,70.57,49.3,69.68,53.12,47.64,68.54,52.99,69.17,0.13,56.43,69.17,41.02,68.92,55.03
PT-TT-SNI-DSC-13-10_m0319,90.74,90.74,89.87,90.88,91.46,88.57,64.69,90.16,62.37,90.74,0.14,87.55,90.74,51.81,91.03,91.03
PT-TT-SNI-DSC-13-10_m0320,60.7,60.7,63.52,62.96,66.76,72.54,67.32,61.69,54.79,60.7,0.14,73.8,60.7,58.31,73.38,70.85
PT-TT-SNI-DSC-13-10_m0321,91.08,91.08,90.44,89.26,91.41,87.65,79.48,90.12,55.1,91.08,0.11,90.44,91.08,52.52,90.98,91.08
PT-TT-SNI-DSC-13-10_m0322,64.75,64.75,51.24,61.34,59.63,59.47,61.02,65.84,57.14,64.75,0.16,71.27,64.75,62.89,56.06,74.53
PT-TT-SNI-DSC-13-10_m0323,71.83,71.83,78.17,52.93,81.1,75.05,40.17,70.32,73.06,71.83,0.09,76.18,71.83,65.88,75.71,73.06
PT-TT-SNI-DSC-13-10_m0372,90.7,90.7,90.54,89.28,90.62,86.35,66.33,88.53,56.7,90.7,0.08,85.59,90.7,53.85,90.7,90.12
PT-TT-SNI-DSC-13-10_m0374,81.04,81.04,79.47,77.7,80.55,80.06,80.45,80.35,63.26,81.04,0.1,80.06,81.04,75.15,81.04,80.06
PT-TT-SNI-DSC-13-10_m0375,80.4,80.4,80.18,83.73,79.73,84.54,84.32,80.47,80.99,80.4,0.07,84.84,80.4,78.03,80.4,80.55
PT-TT-SNI-DSC-13-10_m0376,92.61,92.61,92.69,92.69,92.61,92.3,91.92,92.69,88.38,92.61,0.08,91.61,92.61,88.22,92.61,92.69
PT-TT-SNI-DSC-13-10_m0377,92.53,92.53,92.6,92.53,92.6,92.53,92.67,92.53,88.9,92.53,0.07,92.67,92.53,90.29,92.53,92.6
PT-TT-SNI-DSC-13-10_m0379,90.29,90.29,92.37,92.78,91.78,90.71,90.87,89.54,90.04,90.29,0.08,91.54,90.29,88.63,90.29,86.39
PT-TT-SNI-DSC-13-10_m0380,92.21,92.21,92.67,92.98,92.21,92.37,92.52,91.91,80.61,92.21,0.15,92.67,92.21,85.34,92.82,92.21
PT-TT-SNI-DSC-13-10_m0416,89.03,89.03,89.3,89.71,89.03,89.03,80.38,89.03,59.95,89.03,0.14,89.3,89.03,46.64,89.03,89.57
PT-TT-SNI-DSC-13-10_m0419,88.7,88.7,89.08,86.02,89.27,70.69,80.65,88.12,71.26,88.7,0.19,81.99,88.7,80.46,76.05,87.74
PT-TT-SNI-DSC-13-10_m0420,28.0,28.0,19.29,19.86,26.86,73.57,75.71,27.86,66.71,28.0,0.14,71.71,28.0,72.86,74.57,79.57
PT-TT-SNI-DSC-13-10_m0461,68.64,68.64,72.6,69.68,76.46,71.94,67.98,68.36,73.26,68.64,0.09,74.58,68.64,67.8,74.58,66.95
PT-TT-SNI-DSC-13-10_m0462,89.1,89.1,89.26,89.01,89.35,88.08,13.61,88.17,55.87,89.1,0.0,80.98,89.1,32.12,89.52,88.76
PT-TT-SNI-DSC-13-10_m0484,84.03,84.03,89.12,81.39,84.16,84.93,31.17,82.94,78.36,84.03,0.06,87.25,84.03,80.3,84.1,83.9
PT-TT-SNI-DSC-13-10_m0487,71.42,71.42,72.37,67.62,70.63,42.2,74.66,71.42,66.27,71.42,0.08,74.35,71.42,66.9,71.42,62.47
PT-TT-SNI-DSC-13-10_m0489,35.09,35.09,6.33,7.12,53.31,73.17,0.07,35.09,63.63,35.09,0.07,76.3,35.09,65.27,79.43,79.5
PT-TT-SNI-DSC-13-10_m0491,51.53,51.53,36.59,22.0,51.29,67.29,53.53,50.59,67.53,51.53,0.12,60.71,51.53,66.94,51.53,54.12
PT-TT-SNI-DSC-13-10_m0548,79.75,79.75,75.93,73.97,79.06,81.9,1.17,79.65,75.44,79.75,0.1,80.72,79.75,71.04,79.84,81.51
PT-TT-SNI-DSC-19-13_2_m0003,84.5,84.5,45.17,26.83,65.17,62.67,66.67,84.0,85.17,84.5,0.17,70.0,84.5,77.5,68.83,68.0
