file,baseline,homogeneous_blur,gaussian_blur,median_blur,bilateral_filtering,adaptive_threshold,simple_threshold,otsu_threshold,triangle_threshold,erosion,opening,closing,morphological_gradient,top_hat,black_hat
PT-PNA-DGFP-0001-002-0014-00008_m0001,63.64,63.64,41.83,29.01,60.67,60.92,56.35,35.48,46.84,63.64,63.64,63.64,46.51,65.12,51.37
PT-PNA-DGFP-0001-002-0014-00048_m0001,43.98,43.98,23.78,20.74,49.73,53.54,43.21,27.62,26.76,43.98,43.98,43.98,32.29,51.61,54.26
PT-PNA-DGFP-0002-0001-00032-00002_m0001,62.07,62.07,54.17,57.14,49.62,50.0,44.78,59.46,62.07,62.07,62.07,62.07,29.73,44.62,59.15
PT-PNA-DGFP-0002-0001-00088-00002_m0001,59.82,59.82,58.41,58.67,58.67,49.57,57.27,52.63,0.0,59.82,59.82,59.82,42.24,59.29,58.52
PT-PNA-DGFP-0006-0001-00005-00003_m0001,70.5,70.5,71.94,72.06,70.5,60.56,66.67,64.29,72.06,70.5,70.5,70.5,13.5,73.13,72.59
PT-PNA-DGFP-0006-0001-00008_m0001,35.85,35.85,2.82,2.74,35.19,50.98,37.17,3.39,2.86,35.85,35.85,35.85,44.3,51.47,54.09
PT-PNA-DGFP-0006-0001-00030_m0001,3.45,3.45,3.45,3.45,3.45,18.18,3.45,3.45,3.45,3.45,3.45,3.45,36.84,13.11,0.0
PT-PNA-DGFP-0006-0001-00056_m0001,70.59,70.59,67.67,58.73,71.64,56.21,55.12,38.03,51.61,70.59,70.59,70.59,36.99,71.11,56.21
PT-PNA-DGFP-0006-0001-00096-00001_m0001,61.02,61.02,62.18,66.09,60.5,59.02,63.33,61.67,62.07,61.02,61.02,61.02,51.56,55.74,63.25
PT-TT-SNI-DSC-13-10_m0009,57.74,57.74,56.2,55.83,58.92,52.24,51.67,49.59,42.86,57.74,57.74,57.74,40.5,57.63,61.02
PT-TT-SNI-DSC-13-10_m0012,61.04,61.04,62.91,61.29,62.75,61.64,64.31,61.04,50.0,61.04,61.04,61.04,54.43,61.04,60.57
PT-TT-SNI-DSC-13-10_m0013,79.45,79.45,80.37,70.75,79.45,76.79,78.9,76.36,66.95,79.45,79.45,79.45,69.64,81.11,81.28
PT-TT-SNI-DSC-13-10_m0014,50.49,50.49,42.81,29.92,50.16,47.62,41.64,29.81,50.46,50.49,50.49,50.49,33.73,50.49,45.86
PT-TT-SNI-DSC-13-10_m0015,69.14,69.14,63.41,63.29,67.47,69.88,59.52,61.73,11.32,69.14,69.14,69.14,60.24,52.94,65.82
PT-TT-SNI-DSC-13-10_m0022,67.96,67.96,69.06,68.17,67.96,63.69,67.95,65.18,50.46,67.96,67.96,67.96,32.93,67.96,67.52
PT-TT-SNI-DSC-13-10_m0023,58.12,58.12,64.91,64.41,59.83,47.93,62.07,46.67,29.75,58.12,58.12,58.12,15.04,58.62,63.33
PT-TT-SNI-DSC-13-10_m0063,62.76,62.76,62.45,55.23,62.76,56.43,60.5,51.67,38.6,62.76,62.76,62.76,36.0,63.33,61.67
PT-TT-SNI-DSC-13-10_m0064,61.44,61.44,60.65,61.74,61.89,61.43,62.58,62.5,56.21,61.44,61.44,61.44,50.5,61.44,62.46
PT-TT-SNI-DSC-13-10_m0065,80.54,80.54,77.27,79.09,80.54,77.68,79.45,73.54,67.84,80.54,80.54,80.54,62.01,79.45,78.38
PT-TT-SNI-DSC-13-10_m0070,63.91,63.91,63.41,61.54,63.91,54.44,57.63,60.12,39.05,63.91,63.91,63.91,24.44,61.99,59.22
PT-TT-SNI-DSC-13-10_m0072,61.74,61.74,60.58,47.15,61.54,53.97,60.34,60.98,31.09,61.74,61.74,61.74,38.59,60.45,56.12
PT-TT-SNI-DSC-13-10_m0073,73.03,73.03,65.56,57.67,72.63,68.51,72.73,67.8,48.55,73.03,73.03,73.03,36.54,68.89,65.14
PT-TT-SNI-DSC-13-10_m0074,67.49,67.49,63.87,48.83,65.61,62.45,66.93,63.93,52.03,67.49,67.49,67.49,57.83,59.92,66.4
PT-TT-SNI-DSC-13-10_m0076,76.01,76.01,75.74,73.72,75.0,72.53,76.19,75.18,25.45,76.01,76.01,76.01,26.81,74.16,78.68
PT-TT-SNI-DSC-13-10_m0078,61.54,61.54,61.54,54.24,61.54,52.46,56.67,50.82,12.31,61.54,61.54,61.54,11.11,59.32,59.83
PT-TT-SNI-DSC-13-10_m0111,53.49,53.49,52.87,52.94,53.8,50.57,53.49,50.0,39.77,53.49,53.49,53.49,41.76,54.12,54.02
PT-TT-SNI-DSC-13-10_m0112,70.42,70.42,69.73,68.59,70.9,59.56,64.41,61.69,10.85,70.42,70.42,70.42,6.9,68.8,67.49
PT-TT-SNI-DSC-13-10_m0114,64.3,64.3,63.78,63.29,64.81,61.93,62.16,61.62,9.09,64.3,64.3,64.3,0.7,63.8,58.42
PT-TT-SNI-DSC-13-10_m0116,68.59,68.59,63.35,57.94,68.79,63.64,64.76,61.64,55.26,68.59,68.59,68.59,52.76,68.83,62.58
PT-TT-SNI-DSC-13-10_m0277,69.5,69.5,68.35,67.14,69.5,64.64,69.23,69.23,38.64,69.5,69.5,69.5,41.64,69.5,68.2
PT-TT-SNI-DSC-13-10_m0278,71.71,71.71,73.93,71.05,71.71,72.37,72.37,73.27,49.52,71.71,71.71,71.71,45.16,71.71,71.71
PT-TT-SNI-DSC-13-10_m0279,74.56,74.56,74.56,74.56,74.56,72.22,74.56,74.56,52.81,74.56,74.56,74.56,42.95,74.56,73.61
PT-TT-SNI-DSC-13-10_m0281,72.33,72.33,72.1,71.47,72.1,71.87,71.07,71.07,53.37,72.33,72.33,72.33,48.19,72.33,72.33
