file,homogeneous_blur,gaussian_blur,median_blur,bilateral_filtering,adaptive_threshold,simple_threshold,otsu_threshold,triangle_threshold,erosion,opening,closing,morphological_gradient,top_hat,black_hat,baseline
PT-PNA-DGFP-0001-002-0014-00008_m0001,54.98,58.49,38.29,74.89,72.51,70.41,49.79,61.15,54.98,54.98,54.98,73.21,75.04,71.95,54.98
PT-PNA-DGFP-0001-002-0014-00048_m0001,73.0,32.38,25.25,77.62,73.25,60.0,65.88,38.0,73.0,73.0,73.0,73.0,76.75,74.25,73.0
PT-PNA-DGFP-0002-0001-00032-00002_m0001,69.38,79.97,76.06,52.44,60.42,60.91,67.92,76.06,69.38,69.38,69.38,60.42,52.93,71.5,69.38
PT-PNA-DGFP-0002-0001-00088-00002_m0001,84.43,85.3,84.82,84.53,81.14,84.72,83.27,0.1,84.43,84.43,84.43,79.3,84.72,83.85,84.43
PT-PNA-DGFP-0006-0001-00005-00003_m0001,85.88,88.89,87.95,84.75,81.36,83.99,84.93,88.32,85.88,85.88,85.88,40.87,93.6,88.7,85.88
PT-PNA-DGFP-0006-0001-00008_m0001,42.36,2.03,3.31,40.88,72.56,44.01,21.73,1.84,42.36,42.36,42.36,37.38,74.77,67.03,42.36
PT-PNA-DGFP-0006-0001-00030_m0001,4.61,4.61,4.61,4.61,50.23,4.61,4.61,4.61,4.61,4.61,4.61,68.66,6.91,0.23,4.61
PT-PNA-DGFP-0006-0001-00056_m0001,91.4,90.08,76.03,93.72,77.19,77.85,83.31,67.93,91.4,91.4,91.4,79.5,93.55,76.03,91.4
PT-PNA-DGFP-0006-0001-00096-00001_m0001,86.95,85.68,88.63,86.95,84.21,85.26,86.11,90.11,86.95,86.95,86.95,78.53,81.89,89.89,86.95
PT-TT-SNI-DSC-13-10_m0009,86.54,87.55,87.55,87.25,84.41,85.53,83.2,77.02,86.54,86.54,86.54,76.82,85.32,87.65,86.54
PT-TT-SNI-DSC-13-10_m0012,70.05,71.36,66.57,70.8,73.33,69.39,70.42,62.25,70.05,70.05,70.05,57.18,70.05,65.73,70.05
PT-TT-SNI-DSC-13-10_m0013,93.63,93.63,83.68,93.63,91.38,92.09,93.12,89.63,93.63,93.63,93.63,90.97,93.84,93.43,93.63
PT-TT-SNI-DSC-13-10_m0014,71.26,74.82,49.64,71.58,73.85,64.21,64.94,72.23,71.26,71.26,71.26,44.86,71.26,55.79,71.26
PT-TT-SNI-DSC-13-10_m0015,86.87,87.88,79.46,86.2,87.21,85.86,84.85,22.22,86.87,86.87,86.87,81.14,59.93,81.14,86.87
PT-TT-SNI-DSC-13-10_m0022,91.17,91.23,91.04,91.04,89.44,91.17,90.27,82.65,91.17,91.17,91.17,73.11,91.17,90.33,91.17
PT-TT-SNI-DSC-13-10_m0023,89.98,90.88,90.7,90.16,84.79,89.62,86.58,64.58,89.98,89.98,89.98,48.66,90.16,88.91,89.98
PT-TT-SNI-DSC-13-10_m0063,89.56,89.25,85.77,89.36,87.51,88.64,86.18,69.7,89.56,89.56,89.56,77.89,90.07,89.15,89.56
PT-TT-SNI-DSC-13-10_m0064,69.52,69.34,69.62,68.78,75.68,67.47,71.85,68.41,69.52,69.52,69.52,64.59,69.52,69.99,69.52
PT-TT-SNI-DSC-13-10_m0065,94.38,93.36,91.93,94.28,92.03,92.54,93.26,90.09,94.38,94.38,94.38,88.56,92.54,92.85,94.38
PT-TT-SNI-DSC-13-10_m0070,81.16,83.57,82.58,81.02,74.22,78.61,79.04,69.69,81.16,81.16,81.16,64.31,78.47,76.2,81.16
PT-TT-SNI-DSC-13-10_m0072,77.15,43.22,49.96,77.86,71.48,68.29,81.05,44.02,77.15,77.15,77.15,42.25,72.36,65.54,77.15
PT-TT-SNI-DSC-13-10_m0073,86.66,84.13,72.61,86.1,85.81,89.19,87.08,71.35,86.66,86.66,86.66,38.76,87.92,77.53,86.66
PT-TT-SNI-DSC-13-10_m0074,82.62,77.48,56.17,83.74,84.58,84.67,81.5,79.07,82.62,82.62,82.62,81.78,71.5,84.77,82.62
PT-TT-SNI-DSC-13-10_m0076,94.07,93.59,93.34,93.91,93.18,94.32,93.75,56.01,94.07,94.07,94.07,53.9,90.02,94.4,94.07
PT-TT-SNI-DSC-13-10_m0078,89.8,89.98,63.33,89.8,86.23,88.37,86.23,61.0,89.8,89.8,89.8,45.97,89.62,89.45,89.8
PT-TT-SNI-DSC-13-10_m0111,48.56,67.42,68.41,48.81,71.91,49.19,48.19,60.05,48.56,48.56,48.56,65.17,51.19,69.79,48.56
PT-TT-SNI-DSC-13-10_m0112,92.68,91.65,91.49,92.78,90.1,91.19,90.77,46.03,92.68,92.68,92.68,42.37,91.34,90.98,92.68
PT-TT-SNI-DSC-13-10_m0114,90.74,89.62,89.67,91.06,89.19,89.62,89.89,6.31,90.74,90.74,90.74,16.0,89.57,86.84,90.74
PT-TT-SNI-DSC-13-10_m0116,88.47,84.42,80.24,88.41,82.33,87.21,87.14,84.04,88.47,88.47,88.47,82.84,88.92,83.09,88.47
PT-TT-SNI-DSC-13-10_m0277,87.34,84.91,84.74,87.16,87.16,87.51,87.42,73.98,87.34,87.34,87.34,80.05,87.34,86.56,87.34
PT-TT-SNI-DSC-13-10_m0278,92.48,92.55,92.42,92.42,92.05,92.48,92.55,85.59,92.48,92.48,92.48,81.68,92.48,92.42,92.48
PT-TT-SNI-DSC-13-10_m0279,91.67,91.67,91.95,91.67,91.39,91.25,91.74,84.87,91.67,91.67,91.67,80.46,91.67,91.04,91.67
PT-TT-SNI-DSC-13-10_m0281,92.11,92.11,91.72,91.98,91.72,91.78,91.98,86.33,92.11,92.11,92.11,82.93,92.11,91.85,92.11
PT-TT-SNI-DSC-13-10_m0289,80.02,79.53,80.27,81.02,81.65,82.65,78.4,68.91,80.02,80.02,80.02,77.03,77.9,80.4,80.02
PT-TT-SNI-DSC-13-10_m0291,69.17,65.22,49.3,73.12,64.71,68.28,66.5,52.99,69.17,69.17,69.17,41.02,67.39,63.06,69.17
PT-TT-SNI-DSC-13-10_m0319,90.74,89.73,90.88,90.88,88.57,89.58,89.29,62.37,90.74,90.74,90.74,51.81,80.75,90.16,90.74
PT-TT-SNI-DSC-13-10_m0320,60.7,61.41,62.96,65.92,66.48,66.76,60.56,54.79,60.7,60.7,60.7,58.31,65.63,67.46,60.7
PT-TT-SNI-DSC-13-10_m0321,91.08,90.44,89.26,91.19,85.93,90.44,87.65,55.1,91.08,91.08,91.08,52.52,86.9,90.98,91.08
PT-TT-SNI-DSC-13-10_m0322,64.75,50.0,61.34,65.22,65.53,65.84,67.08,57.14,64.75,64.75,64.75,62.89,55.75,66.77,64.75
PT-TT-SNI-DSC-13-10_m0323,71.83,76.65,52.93,70.6,71.93,75.14,70.42,73.06,71.83,71.83,71.83,65.88,79.68,73.16,71.83
PT-TT-SNI-DSC-13-10_m0372,90.7,90.54,89.28,90.62,77.47,88.11,87.52,56.7,90.7,90.7,90.7,53.85,86.18,89.87,90.7
PT-TT-SNI-DSC-13-10_m0374,81.04,78.88,77.7,80.26,79.08,80.16,79.08,63.26,81.04,81.04,81.04,75.15,79.08,72.0,81.04
PT-TT-SNI-DSC-13-10_m0375,80.4,80.77,83.73,80.47,82.17,79.96,80.84,80.99,80.4,80.4,80.4,78.03,80.4,81.29,80.4
PT-TT-SNI-DSC-13-10_m0376,92.61,92.69,92.69,92.69,91.92,92.3,92.76,88.38,92.61,92.61,92.61,88.22,92.61,92.61,92.61
PT-TT-SNI-DSC-13-10_m0377,92.53,92.67,92.53,92.53,92.46,92.6,92.53,88.9,92.53,92.53,92.53,90.29,92.53,92.6,92.53
