file,homogeneous_blur,gaussian_blur,median_blur,bilateral_filtering,adaptive_threshold,simple_threshold,otsu_threshold,triangle_threshold,erosion,dilation,opening,closing,morphological_gradient,top_hat,black_hat,baseline
PT-TT-SNI-DGE-1-3835_m0004,88.2,87.64,87.08,87.64,88.2,87.64,83.71,88.2,87.08,87.08,87.64,87.08,59.55,87.64,80.9,87.08
PT-TT-SNI-DGE-1-3835_m0005,77.36,77.36,77.36,77.36,56.6,77.36,77.36,77.36,77.36,77.36,77.36,77.36,30.19,77.36,54.72,77.36
PT-TT-SNI-DGE-1-3835_m0006,76.51,77.11,73.49,75.9,68.67,77.11,68.67,74.1,71.08,71.08,71.08,71.08,51.2,71.69,66.87,71.08
PT-TT-SNI-DGE-1-3919_m0007,84.9,85.56,86.65,87.09,85.56,87.31,84.68,87.31,87.53,87.53,87.31,87.53,60.39,87.09,82.28,87.53
PT-TT-SNI-DGE-1-3919_m0008,90.78,90.78,88.35,81.07,77.67,83.5,80.58,81.07,81.55,81.55,82.52,81.55,68.45,83.5,81.55,81.55
PT-TT-SNI-DGE-1-3919_m0118,80.61,81.21,72.12,76.97,82.42,84.24,60.61,0.61,69.7,69.7,75.15,69.7,50.91,80.61,46.67,69.7
PT-TT-SNI-DGE-1-3919_m0119,36.04,12.16,39.19,40.54,83.78,43.24,61.71,0.45,68.92,68.92,84.68,68.92,72.52,70.72,68.92,68.92
PT-TT-SNI-DGE-1-3919_m0120,66.89,74.32,65.54,72.97,64.19,62.84,72.97,0.68,75.0,75.0,58.78,75.0,34.46,79.05,75.0,75.0
PT-TT-SNI-DGE-1-4097_m0001,16.15,20.77,17.69,10.77,25.38,12.31,10.77,0.77,11.54,11.54,20.0,11.54,10.0,13.08,18.46,11.54
PT-TT-SNI-DGE-1-4097_m0002,66.34,64.36,61.39,65.35,69.31,61.39,61.39,0.99,73.27,73.27,73.27,73.27,0.99,59.41,60.4,73.27
PT-TT-SNI-DGE-1-5107_m0002,80.17,80.17,86.78,86.78,78.51,34.71,55.37,86.78,55.37,55.37,55.37,55.37,54.55,55.37,48.76,55.37
PT-TT-SNI-DGE-1-5107_m0003,75.47,75.47,75.47,75.47,77.36,75.47,73.58,75.47,75.47,75.47,75.47,75.47,1.89,75.47,30.19,75.47
PT-TT-SNI-DGE-1-5527_m0005,80.17,86.78,86.78,86.78,83.47,86.78,39.67,86.78,39.67,39.67,55.37,39.67,54.55,66.12,29.75,39.67
PT-TT-SNI-DGE-1-5527_m0006,77.36,77.36,77.36,77.36,75.47,77.36,77.36,77.36,77.36,77.36,77.36,77.36,28.3,49.06,52.83,77.36
PT-TT-SNI-DGE-1-5583_m0002,71.87,71.87,73.09,76.45,38.84,68.81,57.19,78.59,58.72,58.72,71.25,58.72,12.54,58.72,66.97,58.72
PT-TT-SNI-DGE-1-5583_m0003,81.0,80.33,81.33,83.67,38.67,80.0,80.67,65.33,79.33,79.33,83.0,79.33,11.33,80.0,68.33,79.33
PT-TT-SNI-DGE-1-5964_m0003,59.35,59.35,59.35,59.35,78.06,60.0,60.0,60.0,60.0,60.0,60.0,60.0,45.16,60.0,54.19,60.0
PT-TT-SNI-DGE-1-5964_m0004,77.36,77.36,77.36,77.36,71.7,77.36,77.36,77.36,77.36,77.36,77.36,77.36,32.08,77.36,50.94,77.36
PT-TT-SNI-DGE-1-7208_m0004,60.69,78.81,68.4,84.78,78.03,83.04,80.54,85.16,84.59,84.59,84.59,84.59,61.27,85.55,78.61,84.59
PT-TT-SNI-DGE-1-7208_m0005,86.38,86.56,63.31,86.74,84.62,83.11,84.62,86.12,84.79,84.79,85.68,84.79,61.89,85.68,85.32,84.79
PT-TT-SNI-DGE-1-7208_m0012,77.36,77.36,77.36,77.36,77.36,77.36,77.36,77.36,77.36,77.36,77.36,77.36,54.72,77.36,30.19,77.36
PT-TT-SNI-DGE-1-7325_m0001,13.64,18.18,13.64,2.27,9.09,18.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.82,0.0
PT-TT-SNI-DSC-13-12_m0001,86.71,86.71,86.71,86.01,82.52,86.01,87.41,86.01,86.71,86.71,86.71,86.71,43.36,86.71,81.82,86.71
PT-TT-SNI-DSC-19-81_m0001,21.7,19.81,18.87,13.21,19.81,18.87,19.81,0.94,18.87,18.87,12.26,18.87,20.75,14.15,14.15,18.87
PT-TT-SNI-DSC-24-210_m0001,35.22,35.22,35.99,34.45,47.3,25.71,26.74,11.05,26.74,26.74,43.19,26.74,0.0,27.51,23.65,26.74
PT-TT-SNI-DSC-9-169_m0001,63.54,61.57,60.48,67.69,52.84,51.09,54.59,52.62,54.8,54.8,56.77,54.8,29.91,54.8,52.62,54.8
PT-TT-SNI-DSC-9-24_m0001,83.87,82.26,50.46,69.59,39.4,75.81,75.12,79.72,61.06,61.06,45.85,61.06,24.42,64.52,62.9,61.06
PT-TT-SNI-DSC-9-417_m0002,66.23,55.47,62.89,52.32,64.94,50.46,53.43,59.18,55.66,55.66,66.6,55.66,21.89,55.66,63.08,55.66
PT-TT-SNI-DSC-9-6-1_m0002,87.44,85.62,87.67,79.0,63.24,71.92,68.72,85.16,61.19,61.19,63.24,61.19,23.74,61.19,50.91,61.19
PT-TT-SNI-DSC-9-848_m0000,53.36,52.3,61.84,62.01,31.27,56.54,35.34,46.64,34.81,34.81,57.77,34.81,26.15,34.81,49.82,34.81
