file,homogeneous_blur,gaussian_blur,median_blur,bilateral_filtering,adaptive_threshold,simple_threshold,otsu_threshold,triangle_threshold,erosion,dilation,opening,closing,morphological_gradient,top_hat,black_hat,baseline
PT-TT-SNI-DGE-1-3835_m0004,62.96,62.96,64.15,55.56,55.56,59.26,45.28,62.96,55.56,55.56,55.56,55.56,16.39,59.26,52.63,55.56
PT-TT-SNI-DGE-1-3835_m0005,36.36,36.36,36.36,36.36,25.0,36.36,36.36,36.36,36.36,36.36,36.36,36.36,0.0,36.36,0.0,36.36
PT-TT-SNI-DGE-1-3835_m0006,41.86,40.0,40.0,40.0,26.67,39.13,33.33,40.0,34.78,34.78,39.13,34.78,7.27,38.3,38.3,34.78
PT-TT-SNI-DGE-1-3919_m0007,61.16,56.45,58.06,58.06,52.03,58.54,49.6,58.54,58.54,58.54,59.02,58.54,29.23,59.02,53.97,58.54
PT-TT-SNI-DGE-1-3919_m0008,73.68,72.41,72.41,59.38,57.63,61.29,62.3,60.32,60.32,60.32,61.29,60.32,42.11,62.3,60.32,60.32
PT-TT-SNI-DGE-1-3919_m0118,50.0,50.0,45.61,42.55,44.0,44.9,40.0,0.0,46.43,46.43,43.64,46.43,13.56,41.67,37.5,46.43
PT-TT-SNI-DGE-1-3919_m0119,19.05,5.88,22.22,17.78,45.61,22.22,30.51,0.0,41.51,41.51,45.61,41.51,33.33,40.74,41.51,41.51
PT-TT-SNI-DGE-1-3919_m0120,43.24,42.11,51.43,47.37,48.65,35.29,42.11,0.0,52.63,52.63,35.29,52.63,22.22,50.0,52.63,52.63
PT-TT-SNI-DGE-1-4097_m0001,6.9,6.67,7.41,0.0,8.0,0.0,0.0,0.0,0.0,0.0,7.69,0.0,0.0,0.0,0.0,0.0
PT-TT-SNI-DGE-1-4097_m0002,30.0,30.0,28.57,30.0,34.78,42.11,0.0,0.0,36.36,36.36,36.36,36.36,0.0,31.58,31.58,36.36
PT-TT-SNI-DGE-1-5107_m0002,48.48,48.48,52.94,52.94,43.24,16.0,21.43,52.94,21.43,21.43,21.43,21.43,19.35,21.43,20.0,21.43
PT-TT-SNI-DGE-1-5107_m0003,36.36,36.36,36.36,36.36,36.36,36.36,36.36,36.36,36.36,36.36,36.36,36.36,0.0,36.36,0.0,36.36
PT-TT-SNI-DGE-1-5527_m0005,48.48,52.94,52.94,52.94,45.71,52.94,16.0,52.94,16.0,16.0,21.43,16.0,20.0,37.5,7.41,16.0
PT-TT-SNI-DGE-1-5527_m0006,36.36,36.36,36.36,36.36,36.36,36.36,36.36,36.36,36.36,36.36,36.36,36.36,0.0,20.0,15.38,36.36
PT-TT-SNI-DGE-1-5583_m0002,45.33,47.37,44.16,43.04,24.56,43.84,34.78,50.63,38.81,38.81,39.47,38.81,8.33,38.81,37.04,38.81
PT-TT-SNI-DGE-1-5583_m0003,57.5,57.14,58.23,55.7,22.22,53.85,53.85,42.86,55.7,55.7,55.7,55.7,0.0,55.7,46.75,55.7
PT-TT-SNI-DGE-1-5964_m0003,19.35,19.35,19.35,19.35,37.84,19.35,19.35,19.35,19.35,19.35,19.35,19.35,4.88,19.35,12.9,19.35
PT-TT-SNI-DGE-1-5964_m0004,36.36,36.36,36.36,36.36,0.0,36.36,36.36,36.36,36.36,36.36,36.36,36.36,0.0,36.36,16.67,36.36
PT-TT-SNI-DGE-1-7208_m0004,37.93,56.3,41.32,62.69,52.11,61.07,42.03,62.5,62.22,62.22,57.14,62.22,26.28,64.66,52.86,62.22
PT-TT-SNI-DGE-1-7208_m0005,54.13,51.35,54.46,55.86,53.74,48.0,45.13,53.21,50.66,50.66,54.46,50.66,15.25,52.02,51.35,50.66
PT-TT-SNI-DGE-1-7208_m0012,36.36,36.36,36.36,36.36,36.36,36.36,36.36,36.36,36.36,36.36,36.36,36.36,0.0,36.36,0.0,36.36
PT-TT-SNI-DGE-1-7325_m0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PT-TT-SNI-DSC-13-12_m0001,60.61,60.61,58.82,60.61,60.61,60.61,58.82,60.61,57.14,57.14,58.82,57.14,11.43,57.14,45.71,57.14
PT-TT-SNI-DSC-19-81_m0001,12.5,12.12,14.81,16.67,19.51,13.79,7.14,0.0,6.9,6.9,9.09,6.9,16.0,7.69,16.0,6.9
PT-TT-SNI-DSC-24-210_m0001,14.71,14.71,17.39,18.6,10.99,14.63,16.22,0.0,13.16,13.16,15.84,13.16,6.99,15.38,12.82,13.16
PT-TT-SNI-DSC-9-169_m0001,24.0,30.11,24.0,28.26,16.36,22.99,19.35,22.99,23.91,23.91,26.67,23.91,8.62,23.91,19.57,23.91
PT-TT-SNI-DSC-9-24_m0001,50.0,50.0,50.47,39.02,23.01,41.74,42.11,43.64,37.5,37.5,29.36,37.5,18.46,37.4,35.48,37.5
PT-TT-SNI-DSC-9-417_m0002,39.02,30.89,32.59,36.64,24.24,33.93,25.95,34.07,34.59,34.59,34.92,34.59,5.37,34.59,31.5,34.59
PT-TT-SNI-DSC-9-6-1_m0002,56.0,60.61,56.0,57.43,35.29,39.62,39.62,56.86,36.36,36.36,45.71,36.36,14.68,36.36,26.55,36.36
PT-TT-SNI-DSC-9-848_m0000,26.45,35.09,29.23,33.33,13.14,28.8,18.8,28.83,18.49,18.49,26.85,18.49,1.9,18.49,24.11,18.49
