file,homogeneous_blur,gaussian_blur,median_blur,bilateral_filtering,adaptive_threshold,simple_threshold,otsu_threshold,triangle_threshold,erosion,dilation,opening,closing,morphological_gradient,top_hat,black_hat,baseline
PT-TT-SNI-DGE-1-6745_m0006,80.84,81.78,69.63,74.77,30.84,75.7,80.37,0.47,80.84,80.84,80.84,80.84,38.32,8.88,79.44,80.84
PT-TT-SNI-DSC-35-1-2182_m0673,20.0,25.0,5.0,19.72,68.33,19.17,19.44,22.78,20.0,20.0,20.0,20.0,49.17,58.89,27.78,20.0
PT-TT-SNI-DSC-35-1-2191_m0679,83.4,83.78,40.93,83.78,69.88,78.38,82.63,78.38,83.4,83.4,83.4,83.4,72.97,60.23,83.01,83.4
PT-TT-SNI-DSC-35-1-2193_m0681,83.54,80.12,66.15,84.47,80.12,83.85,83.85,82.3,83.54,83.54,83.54,83.54,54.35,83.54,83.85,83.54
PT-TT-SNI-DSC-35-1-2195_m0683,87.31,87.56,31.47,87.56,81.98,84.77,87.31,85.53,87.31,87.31,87.31,87.31,61.93,84.52,83.76,87.31
PT-TT-SNI-DSC-35-1-2219_m0705,86.1,88.06,12.64,86.1,84.27,81.6,84.83,67.84,86.1,86.1,86.1,86.1,69.52,89.33,86.24,86.1
PT-TT-SNI-DSC-35-2-6467_m0002,68.18,63.88,48.33,61.48,54.31,52.63,67.46,71.77,68.18,68.18,68.18,68.18,28.95,62.68,61.96,68.18
PT-TT-SNI-DSC-35-2-6474_m0009,38.54,45.54,30.25,48.73,33.44,38.22,34.71,29.3,38.54,38.54,38.54,38.54,39.81,51.59,44.59,38.54
PT-TT-SNI-DSC-35-2-6488_m0023,36.54,42.95,25.0,30.45,20.83,33.65,35.58,37.18,36.54,36.54,36.54,36.54,21.79,37.18,36.54,36.54
PT-TT-SNI-DSC-35-2-6506_m0039,30.42,56.96,25.57,59.22,29.77,55.66,31.39,53.72,30.42,30.42,30.42,30.42,23.95,50.49,33.98,30.42
PT-TT-SNI-DSC-35-2-6535_m0086,55.71,64.64,36.79,84.64,62.86,70.71,59.64,66.07,55.71,55.71,55.71,55.71,46.43,65.0,66.43,55.71
PT-TT-SNI-DSC-35-2-6550_m0102,53.9,68.96,44.24,60.22,59.11,67.66,53.9,63.2,53.9,53.9,53.9,53.9,17.66,53.9,53.35,53.9
PT-TT-SNI-DSC-35-2-6557_m0043,47.85,54.84,36.02,52.15,45.97,62.37,47.31,61.29,47.85,47.85,47.85,47.85,30.91,50.54,49.73,47.85
PT-TT-SNI-DSC-35-2-6586_m0073,54.67,57.22,38.24,40.79,41.93,44.19,54.67,54.11,54.67,54.67,54.67,54.67,19.55,53.26,51.56,54.67
PT-TT-SNI-DSC-35-2-6622_m0161,76.15,76.86,45.23,75.27,76.15,76.68,75.97,68.73,76.15,76.15,76.15,76.15,63.25,76.15,81.45,76.15
PT-TT-SNI-DSC-35-2-6738_m0277,67.18,71.33,70.24,74.84,73.52,80.2,66.85,0.11,67.18,67.18,67.18,67.18,46.06,67.18,67.29,67.18
PT-TT-SNI-DSC-35-2-6782_m0322,64.04,61.26,48.39,67.11,55.7,65.64,63.45,68.13,64.04,64.04,64.04,64.04,32.46,64.04,63.74,64.04
