file,homogeneous_blur,gaussian_blur,median_blur,bilateral_filtering,adaptive_threshold,simple_threshold,otsu_threshold,triangle_threshold,erosion,dilation,opening,closing,morphological_gradient,top_hat,black_hat,baseline
PT-TT-SNI-DGE-1-6745_m0006,44.83,40.0,21.82,44.07,25.53,44.07,37.93,0.0,44.83,44.83,44.83,44.83,3.85,6.9,43.64,44.83
PT-TT-SNI-DSC-35-1-2182_m0673,21.43,25.0,4.17,29.63,37.65,22.22,21.05,27.59,21.43,21.43,21.43,21.43,9.64,48.0,25.4,21.43
PT-TT-SNI-DSC-35-1-2191_m0679,64.79,70.27,35.71,64.94,55.26,63.29,69.44,64.2,64.79,64.79,64.79,64.79,36.36,53.76,56.41,64.79
PT-TT-SNI-DSC-35-1-2193_m0681,64.1,62.79,41.67,64.1,58.97,57.14,63.29,61.36,64.1,64.1,64.1,64.1,21.92,64.1,64.1,64.1
PT-TT-SNI-DSC-35-1-2195_m0683,61.11,66.67,23.26,65.38,49.09,56.36,57.41,56.36,61.11,61.11,61.11,61.11,20.0,60.55,57.41,61.11
PT-TT-SNI-DSC-35-1-2219_m0705,65.96,65.61,5.13,70.21,61.14,53.97,60.73,49.7,65.96,65.96,65.96,65.96,30.11,70.21,67.72,65.96
PT-TT-SNI-DSC-35-2-6467_m0002,39.37,33.33,18.69,41.44,36.54,35.51,41.94,40.0,39.37,39.37,39.37,39.37,6.19,41.38,37.5,39.37
PT-TT-SNI-DSC-35-2-6474_m0009,29.63,25.29,7.41,25.58,24.44,26.51,24.1,20.25,29.63,29.63,29.63,29.63,10.67,29.89,32.5,29.63
PT-TT-SNI-DSC-35-2-6488_m0023,22.47,23.53,8.57,21.92,16.67,31.58,22.22,22.22,22.47,22.47,22.47,22.47,2.82,22.22,25.32,22.47
PT-TT-SNI-DSC-35-2-6506_m0039,37.33,34.88,2.94,35.71,29.55,37.5,31.17,36.36,37.33,37.33,37.33,37.33,23.68,37.21,35.29,37.33
PT-TT-SNI-DSC-35-2-6535_m0086,54.76,58.7,21.54,66.67,56.25,59.57,56.1,58.33,54.76,54.76,54.76,54.76,32.0,57.5,58.7,54.76
PT-TT-SNI-DSC-35-2-6550_m0102,45.9,44.93,21.85,45.11,41.18,48.92,47.54,53.33,45.9,45.9,45.9,45.9,2.13,45.9,43.75,45.9
PT-TT-SNI-DSC-35-2-6557_m0043,28.81,29.63,19.75,29.09,35.71,36.7,36.21,33.33,28.81,28.81,28.81,28.81,7.32,34.48,34.23,28.81
