file,homogeneous_blur,gaussian_blur,median_blur,bilateral_filtering,adaptive_threshold,simple_threshold,otsu_threshold,triangle_threshold,erosion,dilation,opening,closing,morphological_gradient,top_hat,black_hat,baseline
PT-TT-SNI-DGE-1-1068_m0001,13.92,26.45,11.14,4.18,30.63,3.48,6.03,14.62,3.48,3.48,29.23,3.48,0.23,3.71,25.06,6.7
PT-TT-SNI-DGE-1-1068_m0003,39.66,43.02,35.2,29.05,22.35,37.43,38.55,21.79,37.43,37.43,31.84,37.43,0.56,18.44,7.26,37.43
PT-TT-SNI-DGE-1-1549_m0001,24.21,21.23,22.02,23.02,0.0,24.6,25.0,20.83,24.6,24.6,22.02,24.6,0.0,21.23,20.04,0.0
PT-TT-SNI-DGE-1-1549_m0008,0.28,13.07,10.51,34.09,59.38,36.08,36.93,73.58,36.08,36.08,44.6,36.08,0.28,61.36,65.62,50.82
PT-TT-SNI-DGE-1-2057_m0001,21.7,22.08,19.25,30.0,24.72,28.3,28.68,30.94,28.3,28.3,24.72,28.3,0.19,33.02,33.77,0.0
PT-TT-SNI-DGE-1-2057_m0002,51.96,48.04,50.0,60.78,68.63,58.82,59.8,39.22,58.82,58.82,62.75,58.82,0.98,46.08,69.61,58.82
PT-TT-SNI-DGE-1-2862_m0002,19.25,34.42,27.08,25.94,11.58,33.12,31.65,26.26,33.12,33.12,32.79,33.12,0.16,24.63,23.16,0.0
PT-TT-SNI-DGE-1-3764_m0012,13.97,11.62,24.68,20.51,38.48,12.7,12.52,29.04,12.7,12.7,15.25,12.7,0.18,13.61,23.23,26.05
PT-TT-SNI-DGE-1-4370_m0001,46.25,41.25,42.5,43.75,48.75,31.25,30.0,55.0,31.25,31.25,42.5,31.25,0.0,71.25,1.25,0.0
PT-TT-SNI-DGE-1-4370_m0004,30.37,27.27,29.4,19.92,33.08,22.24,22.24,38.68,22.24,22.24,18.18,22.24,0.19,18.18,31.53,4.88
PT-TT-SNI-DGE-1-4605_m0006,6.61,14.49,14.65,3.46,39.21,0.16,3.46,21.42,3.46,3.46,5.98,3.46,0.16,29.76,44.25,12.22
PT-TT-SNI-DGE-1-4653_m0002,15.64,9.77,9.77,16.61,27.85,17.43,18.57,29.8,17.43,17.43,14.98,17.43,0.16,22.64,29.64,11.26
PT-TT-SNI-DGE-1-4998_m0008,17.16,20.48,25.46,20.85,10.89,21.03,19.74,0.18,21.03,21.03,23.99,21.03,0.18,12.92,17.9,0.0
PT-TT-SNI-DGE-1-5107_m0001,11.96,1.09,10.87,13.04,8.7,10.87,11.96,17.39,10.87,10.87,1.09,10.87,0.0,19.57,11.96,0.0
PT-TT-SNI-DGE-1-5527_m0001,52.96,50.37,50.37,45.56,44.81,45.19,45.56,38.15,45.19,45.19,50.0,45.19,0.37,47.78,54.81,54.22
PT-TT-SNI-DGE-1-5964_m0007,16.38,9.32,3.67,21.19,0.0,20.9,21.19,0.28,20.9,20.9,7.63,20.9,0.0,21.47,12.99,0.0
PT-TT-SNI-DGE-1-601-A_m0003,9.09,3.64,50.91,12.73,47.27,18.18,21.82,1.82,18.18,18.18,14.55,18.18,1.82,25.45,43.64,18.18
PT-TT-SNI-DGE-1-601-A_m0020,21.66,21.66,25.82,18.99,46.29,21.36,21.36,13.95,21.36,21.36,24.04,21.36,0.3,18.99,27.3,25.88
PT-TT-SNI-DGE-1-6109_m0001,11.27,6.0,13.91,17.27,29.02,16.79,16.55,5.28,16.79,16.79,27.82,16.79,0.24,31.41,35.01,18.4
PT-TT-SNI-DGE-1-618_m0001,4.91,0.61,8.59,30.06,57.06,20.25,23.31,12.27,20.25,20.25,20.86,20.25,0.61,31.9,3.68,20.25
PT-TT-SNI-DGE-1-6745_m0014,0.25,0.25,0.25,0.25,29.38,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,18.27,24.94,0.88
PT-TT-SNI-DGE-1-7208_m0014,67.72,70.9,66.14,70.9,66.67,65.61,65.61,67.2,65.61,65.61,75.13,65.61,0.53,69.31,68.78,69.57
PT-TT-SNI-DGE-1-7251_m0002,43.14,47.06,44.61,11.76,36.76,0.49,21.57,43.14,24.51,24.51,28.43,24.51,0.49,18.63,2.45,18.42
PT-TT-SNI-DGE-1-742_m0001,21.85,27.37,30.24,30.24,27.37,24.28,25.17,26.93,24.28,24.28,25.17,24.28,0.22,29.8,49.67,0.0
PT-TT-SNI-DGE-1-7968_m0001,16.79,0.0,13.74,1.53,64.12,0.76,0.76,25.19,0.76,0.76,19.08,0.76,0.76,0.0,50.38,0.76
PT-TT-SNI-DGE-1-7968_m0007,21.02,21.94,24.71,20.55,41.11,15.47,14.78,22.63,15.47,15.47,34.18,15.47,0.23,40.18,48.04,25.25
PT-TT-SNI-DGE-1-8273_m0001,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,18.52,3.7
PT-TT-SNI-DGE-1-8273_m0002,0.56,0.56,0.56,32.96,85.47,18.99,18.99,87.15,18.99,18.99,42.46,18.99,0.56,72.63,78.77,18.99
PT-TT-SNI-DGE-1-8678_m0006,12.94,21.68,0.0,16.43,30.77,12.94,12.59,10.14,12.94,12.94,13.64,12.94,0.35,32.87,12.24,0.0
PT-TT-SNI-DGE-1-8692_m0006,17.89,23.75,14.96,21.99,34.6,20.82,20.82,23.17,20.82,20.82,14.96,20.82,0.29,19.94,18.18,61.86
