file,homogeneous_blur,gaussian_blur,median_blur,bilateral_filtering,adaptive_threshold,simple_threshold,otsu_threshold,triangle_threshold,erosion,dilation,opening,closing,morphological_gradient,top_hat,black_hat,baseline
PT-TT-SNI-DGE-1-1068_m0001,0.0,5.41,0.0,0.0,6.82,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,19.35,0.0
PT-TT-SNI-DGE-1-1068_m0003,10.0,26.32,27.03,20.0,16.67,18.18,16.22,5.56,18.18,18.18,13.33,18.18,0.0,13.33,8.89,18.18
PT-TT-SNI-DGE-1-1549_m0001,1.74,0.0,0.0,1.63,0.0,1.72,1.75,0.0,1.72,1.72,1.75,1.72,0.0,1.94,0.0,2.86
PT-TT-SNI-DGE-1-1549_m0008,0.0,18.18,4.88,43.64,52.38,35.09,35.09,57.14,35.09,35.09,43.33,35.09,0.0,49.35,54.05,48.98
PT-TT-SNI-DGE-1-2057_m0001,12.05,6.74,7.41,19.35,16.67,20.0,20.0,18.95,20.0,20.0,13.33,20.0,0.0,23.53,21.43,9.38
PT-TT-SNI-DGE-1-2057_m0002,31.58,22.22,21.05,43.48,32.0,45.45,36.36,46.15,45.45,45.45,43.48,45.45,0.0,31.58,30.77,45.45
PT-TT-SNI-DGE-1-2862_m0002,15.53,21.49,9.9,23.01,7.89,18.33,16.81,11.88,18.33,18.33,22.95,18.33,0.0,21.24,9.71,10.13
PT-TT-SNI-DGE-1-3764_m0012,4.94,0.0,7.69,2.04,9.72,2.63,2.67,17.98,2.63,2.63,4.76,2.63,0.0,0.0,6.74,15.0
PT-TT-SNI-DGE-1-4370_m0001,42.11,50.0,30.0,47.62,27.27,40.0,40.0,44.44,40.0,40.0,25.0,40.0,0.0,52.63,0.0,0.0
PT-TT-SNI-DGE-1-4370_m0004,12.63,18.82,10.87,10.81,17.78,5.33,7.89,17.82,5.33,5.33,11.43,5.33,0.0,5.8,11.36,0.0
PT-TT-SNI-DGE-1-4605_m0006,0.0,2.11,6.12,0.0,18.98,0.0,0.0,4.08,0.0,0.0,0.0,0.0,0.0,4.69,23.44,13.79
PT-TT-SNI-DGE-1-4653_m0002,6.52,2.22,0.0,14.74,11.48,12.0,12.12,16.07,12.0,12.0,9.2,12.0,0.0,19.61,18.05,20.0
PT-TT-SNI-DGE-1-4998_m0008,6.74,4.6,5.83,6.52,2.99,6.74,6.98,0.0,6.74,6.74,6.38,6.74,0.0,2.6,4.55,19.05
PT-TT-SNI-DGE-1-5107_m0001,0.0,0.0,0.0,0.0,6.9,0.0,0.0,8.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PT-TT-SNI-DGE-1-5527_m0001,40.91,42.86,43.9,41.86,29.79,41.86,41.86,35.29,41.86,41.86,38.1,41.86,0.0,45.0,36.0,55.56
PT-TT-SNI-DGE-1-5964_m0007,5.19,2.47,7.06,2.67,11.88,2.7,2.67,0.0,2.7,2.7,4.4,2.7,0.0,0.0,0.0,12.0
PT-TT-SNI-DGE-1-601-A_m0003,22.22,25.0,25.0,21.05,26.67,22.22,22.22,0.0,22.22,22.22,18.18,22.22,0.0,23.53,36.36,22.22
PT-TT-SNI-DGE-1-601-A_m0020,14.04,15.38,15.69,16.33,27.4,14.55,14.29,13.04,14.55,14.55,13.79,14.55,0.0,16.0,30.99,34.48
PT-TT-SNI-DGE-1-6109_m0001,0.0,0.0,0.0,0.0,14.89,2.99,6.06,0.0,2.99,2.99,10.53,2.99,0.0,15.56,22.22,10.26
PT-TT-SNI-DGE-1-618_m0001,0.0,0.0,0.0,15.38,39.13,10.53,5.56,0.0,10.81,10.81,12.9,10.81,0.0,21.62,40.0,10.81
PT-TT-SNI-DGE-1-6745_m0014,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.05,26.23,0.0
PT-TT-SNI-DGE-1-7208_m0014,63.83,65.31,68.18,60.87,60.0,65.12,65.12,40.0,65.12,65.12,57.14,65.12,0.0,57.78,65.31,66.67
PT-TT-SNI-DGE-1-7251_m0002,12.9,19.05,12.12,5.71,14.49,0.0,2.82,6.9,5.26,5.26,15.15,5.26,0.0,13.16,7.32,5.48
PT-TT-SNI-DGE-1-742_m0001,7.89,11.9,10.31,10.2,15.25,12.66,12.99,13.95,12.66,12.66,10.53,12.66,0.0,10.87,25.6,17.39
PT-TT-SNI-DGE-1-7968_m0001,7.41,0.0,7.14,0.0,31.82,0.0,0.0,21.43,0.0,0.0,22.22,0.0,0.0,0.0,50.0,0.0
PT-TT-SNI-DGE-1-7968_m0007,25.71,25.35,21.33,25.0,28.24,27.69,21.21,16.44,27.69,27.69,27.85,27.69,0.0,29.89,30.61,7.69
PT-TT-SNI-DGE-1-8273_m0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PT-TT-SNI-DGE-1-8273_m0002,0.0,0.0,0.0,22.86,61.54,6.45,6.45,60.0,6.45,6.45,21.62,6.45,0.0,46.81,61.22,6.45
PT-TT-SNI-DGE-1-8678_m0006,12.24,15.87,0.0,8.0,18.52,4.0,4.0,4.88,4.0,4.0,7.84,4.0,0.0,19.61,4.76,0.0
PT-TT-SNI-DGE-1-8692_m0006,11.54,17.24,11.76,20.0,21.54,20.41,20.41,18.87,20.41,20.41,22.73,20.41,0.0,20.0,19.61,45.45
