file,homogeneous_blur,gaussian_blur,median_blur,bilateral_filtering,adaptive_threshold,simple_threshold,otsu_threshold,triangle_threshold,erosion,dilation,opening,closing,morphological_gradient,top_hat,black_hat,baseline
PT-TT-SNI-DSC-35-1-1623A_m0105,53.95,50.0,38.82,55.26,57.89,52.63,52.63,37.5,38.16,52.63,40.13,52.63,9.87,38.16,55.26,52.63
PT-TT-SNI-DSC-35-1-1623_m0104,88.55,88.55,90.08,82.44,89.31,85.5,83.21,77.1,52.67,85.5,52.67,85.5,33.59,82.44,80.15,85.5
PT-TT-SNI-DSC-35-1-1649_m0131,78.64,79.61,73.79,74.76,74.76,82.52,80.58,70.87,73.79,82.52,74.76,82.52,43.69,66.02,76.7,82.52
PT-TT-SNI-DSC-35-1-1703_m0185,87.02,77.86,77.86,80.92,77.1,80.15,78.63,77.1,79.39,80.15,79.39,80.15,47.33,71.76,90.84,80.15
PT-TT-SNI-DSC-35-1-1804_m0284,56.74,68.79,73.05,76.6,56.03,78.01,73.76,52.48,69.5,78.01,75.89,78.01,46.1,56.03,58.16,78.01
PT-TT-SNI-DSC-35-1-1950_m0436,77.12,76.69,90.68,83.47,83.05,83.9,81.78,86.44,86.02,83.9,87.71,83.9,60.59,89.83,83.9,83.9
PT-TT-SNI-DSC-35-1-1955_m0441,87.7,88.46,87.58,87.14,85.94,87.26,85.18,0.06,86.13,87.26,87.58,87.26,49.94,87.26,88.34,87.26
PT-TT-SNI-DSC-35-1-1955_m0442,80.7,79.53,77.19,90.06,78.95,85.38,81.29,0.58,80.12,85.38,87.13,85.38,36.26,77.19,77.78,85.38
PT-TT-SNI-DSC-35-1-1985_m0471,44.62,69.12,76.89,85.86,86.25,86.45,77.29,85.26,89.04,86.45,87.25,86.45,60.76,85.66,87.45,86.45
PT-TT-SNI-DSC-35-1-2039_m0525,0.07,0.07,0.07,3.58,78.87,5.92,5.85,86.99,6.43,5.92,1.68,5.92,59.58,43.93,86.4,5.92
PT-TT-SNI-DSC-35-1-2043_m0529,79.88,74.39,65.85,86.59,71.95,86.59,84.76,72.56,85.98,86.59,84.76,86.59,32.32,86.59,76.83,86.59
PT-TT-SNI-DSC-35-1-2076_m0565,83.48,90.43,88.7,91.3,89.57,65.22,60.0,77.39,87.83,65.22,86.96,65.22,64.35,80.87,88.7,65.22
PT-TT-SNI-DSC-35-1-2082_m0571,35.55,45.5,45.02,62.56,64.93,66.82,59.72,66.82,63.03,66.82,71.56,66.82,54.98,68.72,72.51,66.82
PT-TT-SNI-DSC-35-1-2086_m0575,5.23,15.12,40.5,63.76,86.43,74.61,68.22,86.24,86.63,74.61,83.33,74.61,33.72,76.16,88.95,74.61
PT-TT-SNI-DSC-35-3-1052_m0799,1.0,1.0,1.0,12.0,78.0,22.0,14.0,47.0,38.0,22.0,20.0,22.0,35.0,76.0,88.0,22.0
PT-TT-SNI-DSC-35-3-113_m0041,85.28,88.96,88.7,87.2,84.5,86.37,84.4,79.47,87.97,86.37,87.92,86.37,35.36,86.37,85.69,86.37
PT-TT-SNI-DSC-35-3-1260_m0995,81.75,81.93,76.92,89.8,79.61,82.65,80.5,77.64,76.92,82.65,90.88,82.65,65.65,82.11,82.47,82.65
PT-TT-SNI-DSC-35-3-1278_m1012,90.03,82.4,84.46,88.86,81.52,89.15,89.74,81.52,86.8,89.15,88.27,89.15,74.78,83.28,86.22,89.15
PT-TT-SNI-DSC-35-3-1280_m1014,90.69,87.0,86.71,86.26,88.33,91.88,90.4,80.21,89.81,91.88,89.96,91.88,48.01,89.66,88.77,91.88
PT-TT-SNI-DSC-35-3-1337B_m1071,0.23,0.23,0.23,0.23,80.97,3.02,0.23,71.69,0.23,0.23,8.35,0.23,57.31,48.03,72.85,0.23
PT-TT-SNI-DSC-35-3-133_m0060,11.56,25.83,20.4,64.27,83.14,60.5,56.01,82.43,81.37,60.5,73.0,60.5,59.08,83.61,84.32,60.5
PT-TT-SNI-DSC-35-3-1361_m1095,50.48,74.29,65.71,92.38,69.52,81.9,78.1,58.1,90.48,81.9,66.67,81.9,41.9,77.14,81.9,81.9
PT-TT-SNI-DSC-35-3-1381_m1115,0.35,32.17,22.73,70.63,81.12,63.64,52.1,68.18,77.27,63.64,73.08,63.64,45.8,72.38,72.03,63.64
PT-TT-SNI-DSC-35-3-1382_m1116,35.86,41.38,29.31,69.31,64.48,66.21,54.48,61.38,65.86,66.21,68.62,66.21,53.1,60.34,64.14,66.21
PT-TT-SNI-DSC-35-3-1387_m1121,2.2,14.91,16.38,60.39,77.02,53.55,49.39,78.73,72.37,58.19,78.48,58.19,58.19,61.12,83.13,58.19
PT-TT-SNI-DSC-35-3-1412_m1144,8.57,48.13,25.49,69.67,78.46,71.21,61.1,76.48,77.8,71.21,71.87,71.21,61.76,73.19,72.09,71.21
PT-TT-SNI-DSC-35-3-1412_m1145,80.32,80.95,80.63,83.49,80.63,81.9,79.05,73.97,85.08,81.59,84.13,81.59,65.4,84.13,84.44,81.59
PT-TT-SNI-DSC-35-3-1432_m1163,1.11,8.89,10.0,32.22,73.33,30.0,27.78,57.78,35.56,30.0,76.67,30.0,28.89,46.67,70.0,30.0
PT-TT-SNI-DSC-35-3-166_m0087,90.4,90.4,87.62,88.24,90.4,94.43,91.02,81.73,86.38,94.43,91.64,94.43,41.49,93.81,91.64,94.43
PT-TT-SNI-DSC-35-3-399_m0168,86.0,85.56,84.46,85.34,84.9,87.31,84.46,81.4,86.87,87.31,86.43,87.31,61.05,87.75,84.68,87.31
PT-TT-SNI-DSC-35-3-463_m0231,78.89,85.0,84.44,79.44,71.67,79.44,79.44,66.11,76.11,79.44,83.33,79.44,52.78,76.67,83.89,79.44
PT-TT-SNI-DSC-35-3-572_m0329,68.18,78.41,68.18,88.64,88.64,88.64,85.23,73.86,86.36,88.64,87.5,88.64,73.86,75.0,86.36,88.64
PT-TT-SNI-DSC-35-3-578_m0335,89.62,90.99,89.47,89.47,89.04,89.4,89.47,84.21,89.4,89.47,90.19,89.47,76.35,89.62,90.48,89.47
PT-TT-SNI-DSC-35-3-590_m0346,67.42,53.93,47.19,74.16,60.67,82.02,79.78,62.92,71.91,82.02,80.9,82.02,51.69,73.03,77.53,82.02
PT-TT-SNI-DSC-35-3-591_m0347,89.85,88.34,90.53,86.01,86.15,89.85,88.75,82.85,87.93,90.12,90.12,90.12,71.88,90.12,89.16,90.12
PT-TT-SNI-DSC-35-3-591_m0348,83.93,87.5,82.14,82.14,35.71,91.07,91.07,60.71,87.5,91.07,87.5,91.07,46.43,85.71,82.14,91.07
PT-TT-SNI-DSC-35-3-605_m0362,58.54,76.83,75.61,85.37,82.93,85.37,82.93,71.95,85.37,85.37,80.49,85.37,34.15,62.2,80.49,85.37
PT-TT-SNI-DSC-35-3-607_m0364,44.93,37.68,75.36,46.38,43.48,40.58,40.58,79.71,39.13,40.58,81.16,40.58,13.04,1.45,43.48,40.58
PT-TT-SNI-DSC-35-3-616_m0373,88.3,89.93,90.67,89.78,88.74,85.78,85.19,72.59,81.19,85.78,90.67,85.78,2.37,84.74,86.52,85.78
PT-TT-SNI-DSC-35-3-667_m0421,86.03,89.73,87.88,88.22,84.18,90.24,88.38,56.57,85.86,90.24,90.24,90.24,64.48,90.24,90.24,90.24
PT-TT-SNI-DSC-35-3-731_m0485,0.26,17.39,18.16,59.34,48.85,47.06,43.73,47.57,65.98,47.06,64.45,47.06,21.48,51.92,76.98,47.06
PT-TT-SNI-DSC-35-3-80_m0011,16.09,15.7,15.31,13.76,12.4,13.57,13.18,14.53,13.57,13.57,15.31,13.57,12.4,14.15,13.37,13.57
PT-TT-SNI-DSC-35-3-869_m0625,0.67,0.67,0.67,44.3,84.56,0.67,18.12,78.52,41.61,20.81,55.03,20.81,57.72,67.11,67.11,20.81
PT-TT-SNI-DSC-35-3-882_m0636,24.36,42.31,26.92,52.56,69.23,85.9,82.05,70.51,73.08,84.62,73.08,84.62,50.0,56.41,78.21,84.62
PT-TT-SNI-DSC-35-3-920_m0668,1.11,43.33,44.44,76.67,82.22,77.78,72.22,43.33,80.0,77.78,87.78,77.78,41.11,62.22,81.11,77.78
PT-TT-SNI-DSC-35-3-969_m0715,30.1,30.1,49.51,68.93,83.5,72.82,73.79,75.73,84.47,72.82,71.84,72.82,68.93,93.2,77.67,72.82
PT-TT-SNI-DSC-35-3-988_m0733,0.32,0.32,0.32,0.32,82.14,2.92,2.92,81.82,33.44,2.92,0.32,2.92,57.47,41.56,84.74,2.92
PT-TT-SNI-DSC-35-8-273_m0115,92.76,94.74,92.11,92.76,81.58,89.47,88.82,86.18,84.87,89.47,90.79,89.47,71.71,88.16,93.42,89.47
PT-TT-SNI-DSC-35-8-278_m0120,73.21,73.21,72.92,73.21,80.95,72.32,71.13,80.36,73.51,72.32,89.58,72.32,63.39,72.32,89.29,72.32
