file,homogeneous_blur,gaussian_blur,median_blur,bilateral_filtering,adaptive_threshold,simple_threshold,otsu_threshold,triangle_threshold,erosion,dilation,opening,closing,morphological_gradient,top_hat,black_hat,baseline
PT-TT-SNI-DSC-35-1-1623A_m0105,28.57,30.3,22.22,32.26,29.27,28.57,28.57,26.67,30.77,28.57,29.63,28.57,15.38,30.77,35.56,28.57
PT-TT-SNI-DSC-35-1-1623_m0104,63.16,63.16,60.0,58.54,68.42,58.54,48.78,59.46,56.25,58.54,50.0,58.54,6.25,66.67,57.14,58.54
PT-TT-SNI-DSC-35-1-1649_m0131,57.14,64.71,62.5,68.75,60.61,61.11,55.56,43.75,54.55,61.11,68.75,61.11,34.48,60.0,52.63,61.11
PT-TT-SNI-DSC-35-1-1703_m0185,66.67,61.54,59.46,70.27,54.05,63.16,57.89,57.89,68.42,63.16,70.27,63.16,37.5,64.71,73.68,63.16
PT-TT-SNI-DSC-35-1-1804_m0284,50.91,55.32,59.09,58.54,42.42,65.12,57.78,40.0,55.56,65.12,66.67,65.12,23.53,50.0,48.65,65.12
PT-TT-SNI-DSC-35-1-1950_m0436,70.18,64.41,75.41,72.13,58.46,73.33,64.41,60.0,76.67,73.33,77.97,73.33,31.03,75.41,73.02,73.33
PT-TT-SNI-DSC-35-1-1955_m0441,65.37,64.11,61.2,60.56,52.03,61.84,52.75,0.0,59.4,61.84,58.15,61.84,16.58,60.94,62.6,61.84
PT-TT-SNI-DSC-35-1-1955_m0442,58.33,57.14,56.52,59.09,51.06,55.32,55.32,0.0,48.89,55.32,57.78,55.32,11.54,57.14,52.0,55.32
PT-TT-SNI-DSC-35-1-1985_m0471,33.68,58.72,59.65,69.35,66.1,70.49,39.67,62.3,69.35,70.49,66.67,70.49,25.42,65.12,73.33,70.49
PT-TT-SNI-DSC-35-1-2039_m0525,0.0,0.0,0.0,1.25,36.42,2.42,2.44,51.61,1.2,2.42,0.0,2.42,17.91,22.13,54.72,2.42
PT-TT-SNI-DSC-35-1-2043_m0529,72.0,67.92,58.18,73.91,65.22,76.6,69.57,54.9,73.91,76.6,68.09,76.6,12.12,73.91,64.15,76.6
PT-TT-SNI-DSC-35-1-2076_m0565,66.67,60.61,60.61,75.0,64.71,66.67,44.44,50.0,70.59,66.67,68.57,66.67,28.57,66.67,70.59,66.67
PT-TT-SNI-DSC-35-1-2082_m0571,34.62,36.07,18.52,48.28,53.85,49.06,40.0,55.56,48.28,49.06,60.71,49.06,29.03,47.62,50.0,49.06
PT-TT-SNI-DSC-35-1-2086_m0575,8.57,12.82,21.78,46.15,54.81,56.41,29.75,62.22,57.14,56.41,55.81,56.41,17.27,59.02,68.15,56.41
PT-TT-SNI-DSC-35-3-1052_m0799,0.0,0.0,0.0,9.52,50.0,22.22,0.0,45.45,38.1,22.22,21.05,22.22,0.0,55.17,60.0,22.22
PT-TT-SNI-DSC-35-3-113_m0041,54.07,57.62,56.4,58.11,51.21,59.17,48.56,39.35,55.71,59.17,55.92,59.17,12.53,59.17,55.42,59.17
PT-TT-SNI-DSC-35-3-1260_m0995,63.16,64.66,57.14,70.07,59.54,63.64,62.69,51.52,57.81,63.64,69.63,63.64,39.06,63.16,63.08,63.64
PT-TT-SNI-DSC-35-3-1278_m1012,75.27,71.11,71.74,72.92,59.18,68.82,74.47,56.31,70.83,70.21,70.1,70.21,36.17,71.58,70.21,70.21
PT-TT-SNI-DSC-35-3-1280_m1014,66.67,62.82,58.39,61.15,56.96,69.23,57.14,46.34,64.56,69.23,68.79,69.23,8.7,67.08,66.25,69.23
PT-TT-SNI-DSC-35-3-1337B_m1071,0.0,0.0,0.0,0.0,52.43,0.0,0.0,59.57,0.0,0.0,3.7,0.0,27.08,39.51,56.25,0.0
PT-TT-SNI-DSC-35-3-133_m0060,3.2,14.49,13.24,41.71,51.46,37.99,27.51,48.28,50.0,37.99,47.37,37.99,21.9,54.63,53.4,37.99
PT-TT-SNI-DSC-35-3-1361_m1095,47.62,53.85,40.0,76.92,55.17,75.0,64.0,54.55,64.29,75.0,60.87,75.0,16.22,60.0,59.26,75.0
PT-TT-SNI-DSC-35-3-1381_m1115,0.0,33.33,13.64,55.07,58.82,48.39,15.38,51.61,55.07,48.39,50.79,48.39,25.93,55.74,52.31,48.39
PT-TT-SNI-DSC-35-3-1382_m1116,33.9,34.48,36.36,47.37,56.0,49.32,21.05,44.16,57.53,49.32,48.0,49.32,27.4,50.67,52.05,49.32
PT-TT-SNI-DSC-35-3-1387_m1121,0.0,14.81,14.04,40.45,54.55,40.51,21.95,46.15,54.55,41.98,52.08,41.98,22.22,58.23,57.14,41.98
PT-TT-SNI-DSC-35-3-1412_m1144,9.68,23.66,5.19,42.31,46.67,38.53,19.64,44.07,47.54,38.53,48.6,38.53,23.01,39.67,40.62,38.53
PT-TT-SNI-DSC-35-3-1412_m1145,65.06,67.47,64.37,65.93,52.75,68.09,59.57,44.94,75.86,68.09,71.43,68.09,35.0,74.16,69.66,68.09
PT-TT-SNI-DSC-35-3-1432_m1163,0.0,0.0,0.0,31.58,59.26,22.22,11.11,41.38,36.36,22.22,58.06,22.22,9.09,45.45,48.28,22.22
PT-TT-SNI-DSC-35-3-166_m0087,72.73,80.46,70.21,80.0,64.44,82.22,68.89,55.81,71.58,82.22,73.33,82.22,16.47,83.15,77.78,82.22
PT-TT-SNI-DSC-35-3-399_m0168,68.85,70.31,67.2,68.8,61.9,69.92,59.2,57.6,69.84,69.92,68.75,69.92,46.43,71.54,64.0,69.92
PT-TT-SNI-DSC-35-3-463_m0231,51.16,61.9,60.47,58.54,46.15,58.54,60.0,51.28,53.66,58.54,60.47,58.54,9.09,66.67,63.64,58.54
PT-TT-SNI-DSC-35-3-572_m0329,43.48,66.67,43.48,72.0,72.0,72.0,53.85,50.0,64.0,72.0,64.0,72.0,56.0,52.17,64.0,72.0
PT-TT-SNI-DSC-35-3-578_m0335,60.63,61.49,54.36,63.19,55.7,58.39,56.76,41.97,59.53,59.06,60.07,59.06,29.94,60.4,62.59,59.06
PT-TT-SNI-DSC-35-3-590_m0346,46.15,40.0,31.58,55.17,40.0,57.14,55.17,41.67,41.38,57.14,59.26,57.14,36.36,53.85,51.85,57.14
PT-TT-SNI-DSC-35-3-591_m0347,69.01,67.03,72.51,69.46,61.99,66.67,64.09,46.33,71.01,68.89,70.59,68.89,23.6,68.89,68.18,68.89
PT-TT-SNI-DSC-35-3-591_m0348,72.73,66.67,57.14,57.14,42.86,60.0,60.0,36.36,57.14,60.0,66.67,60.0,8.7,52.63,54.55,60.0
PT-TT-SNI-DSC-35-3-605_m0362,47.62,46.15,60.87,58.33,50.0,58.33,50.0,50.0,56.0,58.33,51.85,58.33,10.53,54.55,57.14,58.33
PT-TT-SNI-DSC-35-3-607_m0364,36.36,28.57,52.63,44.44,53.33,57.14,57.14,58.82,42.86,57.14,66.67,57.14,16.67,0.0,53.33,57.14
PT-TT-SNI-DSC-35-3-616_m0373,63.45,65.73,63.83,65.28,63.45,60.0,57.75,46.15,52.94,60.0,64.79,60.0,2.78,61.31,60.14,60.0
PT-TT-SNI-DSC-35-3-667_m0421,68.49,73.38,68.46,73.1,59.42,72.22,56.55,35.77,73.53,71.83,76.92,71.83,34.59,71.83,73.24,71.83
PT-TT-SNI-DSC-35-3-731_m0485,0.0,6.78,13.33,39.53,30.95,30.77,25.0,31.71,40.45,30.77,45.98,30.77,9.38,38.55,47.92,30.77
PT-TT-SNI-DSC-35-3-80_m0011,7.09,6.8,6.99,8.05,6.49,8.0,7.95,6.62,6.62,8.0,8.05,8.0,7.74,6.67,6.71,8.0
PT-TT-SNI-DSC-35-3-869_m0625,0.0,0.0,0.0,31.58,60.87,0.0,6.9,50.0,33.33,28.57,46.15,28.57,16.33,44.9,48.0,28.57
PT-TT-SNI-DSC-35-3-882_m0636,13.33,12.5,9.09,33.33,43.48,50.0,41.67,45.45,45.45,52.17,45.45,52.17,16.0,24.0,46.15,52.17
PT-TT-SNI-DSC-35-3-920_m0668,0.0,21.05,44.44,60.87,56.0,64.29,48.28,40.0,50.0,64.29,59.26,64.29,21.05,50.0,61.54,64.29
PT-TT-SNI-DSC-35-3-969_m0715,40.0,40.0,41.67,72.73,70.97,75.0,64.52,73.33,78.79,75.0,66.67,75.0,38.89,77.78,70.27,75.0
PT-TT-SNI-DSC-35-3-988_m0733,0.0,0.0,0.0,0.0,47.5,0.0,0.0,45.24,36.67,0.0,0.0,0.0,24.69,36.92,48.19,0.0
PT-TT-SNI-DSC-35-8-273_m0115,90.48,92.68,78.05,90.48,62.22,84.44,71.11,60.0,79.07,84.44,89.47,84.44,33.33,82.61,85.71,84.44
PT-TT-SNI-DSC-35-8-278_m0120,66.67,66.67,63.41,66.67,61.54,64.29,61.18,55.67,66.67,64.29,71.74,64.29,37.21,64.29,68.04,64.29
