file,bilateral_filtering
PT-PNA-DGFP-0001-002-0014-00008_m0001,73.35
PT-PNA-DGFP-0001-002-0014-00048_m0001,72.5
PT-PNA-DGFP-0002-0001-00032-00002_m0001,52.28
PT-PNA-DGFP-0002-0001-00088-00002_m0001,84.24
PT-PNA-DGFP-0006-0001-00005-00003_m0001,90.58
PT-PNA-DGFP-0006-0001-00008_m0001,26.7
PT-PNA-DGFP-0006-0001-00030_m0001,4.61
PT-PNA-DGFP-0006-0001-00056_m0001,93.55
PT-PNA-DGFP-0006-0001-00096-00001_m0001,85.68
PT-TT-SNI-DSC-13-10_m0009,87.75
PT-TT-SNI-DSC-13-10_m0012,70.14
PT-TT-SNI-DSC-13-10_m0013,94.15
PT-TT-SNI-DSC-13-10_m0014,67.45
PT-TT-SNI-DSC-13-10_m0015,85.86
PT-TT-SNI-DSC-13-10_m0022,90.78
PT-TT-SNI-DSC-13-10_m0023,90.34
PT-TT-SNI-DSC-13-10_m0063,89.25
PT-TT-SNI-DSC-13-10_m0064,68.03
PT-TT-SNI-DSC-13-10_m0065,92.65
PT-TT-SNI-DSC-13-10_m0070,80.31
PT-TT-SNI-DSC-13-10_m0072,78.65
PT-TT-SNI-DSC-13-10_m0073,84.83
PT-TT-SNI-DSC-13-10_m0074,85.98
PT-TT-SNI-DSC-13-10_m0076,94.07
PT-TT-SNI-DSC-13-10_m0078,89.8
PT-TT-SNI-DSC-13-10_m0111,49.81
PT-TT-SNI-DSC-13-10_m0112,92.68
PT-TT-SNI-DSC-13-10_m0114,90.8
PT-TT-SNI-DSC-13-10_m0116,87.97
PT-TT-SNI-DSC-13-10_m0277,87.51
PT-TT-SNI-DSC-13-10_m0278,92.55
PT-TT-SNI-DSC-13-10_m0279,91.88
PT-TT-SNI-DSC-13-10_m0281,91.85
PT-TT-SNI-DSC-13-10_m0289,81.27
PT-TT-SNI-DSC-13-10_m0291,69.68
PT-TT-SNI-DSC-13-10_m0319,91.46
PT-TT-SNI-DSC-13-10_m0320,66.76
PT-TT-SNI-DSC-13-10_m0321,91.41
PT-TT-SNI-DSC-13-10_m0322,59.63
PT-TT-SNI-DSC-13-10_m0323,81.1
PT-TT-SNI-DSC-13-10_m0372,90.62
PT-TT-SNI-DSC-13-10_m0374,80.55
PT-TT-SNI-DSC-13-10_m0375,79.73
PT-TT-SNI-DSC-13-10_m0376,92.61
PT-TT-SNI-DSC-13-10_m0377,92.6
PT-TT-SNI-DSC-13-10_m0379,91.78
PT-TT-SNI-DSC-13-10_m0380,92.21
PT-TT-SNI-DSC-13-10_m0416,89.03
PT-TT-SNI-DSC-13-10_m0419,89.27
PT-TT-SNI-DSC-13-10_m0420,26.86
PT-TT-SNI-DSC-13-10_m0461,76.46
PT-TT-SNI-DSC-13-10_m0462,89.35
PT-TT-SNI-DSC-13-10_m0484,84.16
PT-TT-SNI-DSC-13-10_m0487,70.63
PT-TT-SNI-DSC-13-10_m0489,53.31
PT-TT-SNI-DSC-13-10_m0491,51.29
PT-TT-SNI-DSC-13-10_m0548,79.06
PT-TT-SNI-DSC-19-13_2_m0003,65.17
PT-TT-SNI-DSC-19-13_3_m0004,77.82
PT-TT-SNI-DSC-24-203_m0007,68.99
PT-TT-SNI-DSC-35-6-9242_m0676,72.76
PT-TT-SNI-DSC-35-8-9363_m0539,53.7
PT-TT-SNI-DSC-35-8-9368_m0548,89.22
PT-TT-SNI-DSC-9-73_m0003,95.3
PT-TT-SNI-DSC-9-73_m0004,93.39
PT-TT-SNI-DSC-9-73_m0006,79.7
PT-TT-SNI-DSC-9-73_m0007,70.43
PT-TT-SNI-DSC-9-73_m0021,87.86
PT-TT-SNI-DSC-9-857_m0002,74.69
PT-TT-SNI-DSC-9-857_m0004,86.31
PT-TT-SNI-DSC-9-857_m0005,87.19
PT-TT-SNI-DSC-9-857_m0006,88.87
PT-TT-SNI-DSC-9-857_m0007,84.57
PT-TT-SNI-DSC-9-857_m0008,92.18
PT-TT-SNI-DSC-9-857_m0009,90.2
PT-TT-SNI-DSC-9-857_m0010,92.04
PT-TT-SNI-DSC-9-857_m0013,82.25
PT-TT-SNI-DSC-9-857_m0021,86.28
PT-TT-SNI-DSC-9-857_m0022,14.45
PT-TT-SNI-DSC-9-857_m0023,62.31
PT-TT-SNI-DSC-9-857_m0024,57.38
PT-TT-SNI-DGE-1-3835_m0004,87.08
PT-TT-SNI-DGE-1-3835_m0005,77.36
PT-TT-SNI-DGE-1-3835_m0006,69.88
PT-TT-SNI-DGE-1-3919_m0007,87.53
PT-TT-SNI-DGE-1-3919_m0008,83.5
PT-TT-SNI-DGE-1-3919_m0118,64.24
PT-TT-SNI-DGE-1-3919_m0119,67.57
PT-TT-SNI-DGE-1-3919_m0120,62.84
PT-TT-SNI-DGE-1-4097_m0001,11.54
PT-TT-SNI-DGE-1-4097_m0002,64.36
PT-TT-SNI-DGE-1-5107_m0002,55.37
PT-TT-SNI-DGE-1-5107_m0003,75.47
PT-TT-SNI-DGE-1-5527_m0005,55.37
PT-TT-SNI-DGE-1-5527_m0006,77.36
PT-TT-SNI-DGE-1-5583_m0002,74.31
PT-TT-SNI-DGE-1-5583_m0003,82.67
PT-TT-SNI-DGE-1-5964_m0003,60.65
PT-TT-SNI-DGE-1-5964_m0004,77.36
PT-TT-SNI-DGE-1-7208_m0004,83.82
PT-TT-SNI-DGE-1-7208_m0005,86.12
PT-TT-SNI-DGE-1-7208_m0012,77.36
PT-TT-SNI-DGE-1-7325_m0001,2.27
PT-TT-SNI-DSC-13-12_m0001,86.01
PT-TT-SNI-DSC-19-81_m0001,12.26
PT-TT-SNI-DSC-24-210_m0001,28.79
PT-TT-SNI-DSC-9-169_m0001,52.18
PT-TT-SNI-DSC-9-24_m0001,67.28
PT-TT-SNI-DSC-9-417_m0002,60.85
PT-TT-SNI-DSC-9-6-1_m0002,61.87
PT-TT-SNI-DSC-9-848_m0000,56.89
PT-TT-SNI-DGE-1-6745_m0006,80.84
PT-TT-SNI-DSC-35-1-2182_m0673,32.22
PT-TT-SNI-DSC-35-1-2191_m0679,80.31
PT-TT-SNI-DSC-35-1-2193_m0681,86.96
PT-TT-SNI-DSC-35-1-2195_m0683,84.77
PT-TT-SNI-DSC-35-1-2219_m0705,86.52
PT-TT-SNI-DSC-35-2-6467_m0002,63.88
PT-TT-SNI-DSC-35-2-6474_m0009,46.18
PT-TT-SNI-DSC-35-2-6488_m0023,28.85
PT-TT-SNI-DSC-35-2-6506_m0039,49.51
PT-TT-SNI-DSC-35-2-6535_m0086,57.5
PT-TT-SNI-DSC-35-2-6550_m0102,62.83
PT-TT-SNI-DSC-35-2-6557_m0043,54.84
PT-TT-SNI-DSC-35-2-6586_m0073,54.96
PT-TT-SNI-DSC-35-2-6622_m0161,77.56
PT-TT-SNI-DSC-35-2-6738_m0277,76.48
PT-TT-SNI-DSC-35-2-6782_m0322,62.72
PT-TT-SNI-DSC-35-2-6796_m0337,72.69
PT-TT-SNI-DSC-35-2-6856_m0389,70.85
PT-TT-SNI-DSC-35-2-6858_m0391,69.38
PT-TT-SNI-DSC-35-2-6904_m0438,26.37
PT-TT-SNI-DSC-35-2-6935_m0469,81.7
PT-TT-SNI-DSC-35-2-6935_m0470,77.89
PT-TT-SNI-DSC-35-2-6966_m0501,80.64
PT-TT-SNI-DSC-35-2-7053_m0590,65.19
PT-TT-SNI-DSC-35-2-7078_m0616,60.74
PT-TT-SNI-DSC-35-2-7169_m0700,43.42
PT-TT-SNI-DSC-35-2-7178_m0709,60.93
PT-TT-SNI-DSC-35-3-703_m0458,78.37
PT-TT-SNI-DSC-35-3-726_m0480,67.87
PT-TT-SNI-DSC-35-4-2431_m0200,83.46
PT-TT-SNI-DSC-35-4-2565_m0285,83.47
PT-TT-SNI-DSC-35-4-2803_m0513,23.8
PT-TT-SNI-DSC-35-4-2868_m0563,87.52
PT-TT-SNI-DSC-35-4-2896_m0582,83.99
PT-TT-SNI-DSC-35-4-3089_m0737,14.48
PT-TT-SNI-DSC-35-4-3165_m0812,85.69
PT-TT-SNI-DSC-35-4-3858_m0904,58.68
PT-TT-SNI-DSC-35-4-3926_m0972,80.09
PT-TT-SNI-DSC-35-5-4347_m0076,86.88
PT-TT-SNI-DSC-35-5-4347_m0077,89.79
